Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
ASTDM,ASTER DM HEALTHCARE LTD,INE914M01019,10,698.71,734.05,+ 0.78,6987.10,7340.50,(775.56),353.40,5.06,
ASTMIC,ASTRA MICROWAVE PRODUCTS LTD,INE386C01029,29,1001.64,1385.00,- 1.19,29047.56,40165.00,778.43,11117.44,38.27,
ATHENE,ATHER ENERGY LIMITED,INE0LEZ01016,35,751.50,954.75,- 0.97,26302.50,33416.25,747.84,7113.75,27.05,
AUSMA,AU SMALL FINANCE BANK LTD,INE949L01017,5,1010.48,990.55,+ 0.59,5052.40,4952.75,(1407.44),-99.65,(1.97),
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,35,4270.58,4065.20,+ 0.26,149470.30,142282.00,(5309.12),-7188.30,(4.81),
AXIBAN,AXIS BANK LIMITED,INE238A01034,20,1216.91,1288.10,+ 0.12,24338.20,25762.00,0.00,1423.80,5.85,
AXITEC,AXIS NIFTY IT ETF,INF846K01Y96,20,417.51,327.49,+ 2.44,8350.20,6549.80,0.00,-1800.40,(21.56),
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,5,9047.73,10525.00,+ 0.62,45238.65,52625.00,6586.84,7386.35,16.33,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01026,35,1801.89,1790.00,+ 0.36,63066.15,62650.00,14785.35,-416.15,(0.66),
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,39,228.82,906.90,- 0.15,8923.98,35369.10,(19036.67),26445.12,296.34,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,4,10581.73,10405.00,+ 0.42,42326.92,41620.00,0.00,-706.92,(1.67),
BANBAR,BANK OF BARODA,INE028A01039,45,295.88,267.40,- 0.41,13314.60,12033.00,1858.70,-1281.60,(9.63),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,164,523.51,560.78,- 0.10,85855.64,91967.92,8736.06,6112.28,7.12,
BELLIM,BELRISE INDUSTRIES LIMITED,INE894V01022,10,215.78,213.13,- 1.54,2157.80,2131.30,0.00,-26.50,(1.23),
BEML,BEML LIMITED,INE258A01024,5,2190.99,1702.00,- 1.18,10954.95,8510.00,11415.01,-2444.95,(22.32),
BHA22,ICICI PRUD MF BHARAT 22 ETF,INF109KB15Y7,361,114.31,120.12,- 0.30,41265.91,43363.32,0.00,2097.41,5.08,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,21,1563.92,1828.20,- 0.04,32842.32,38392.20,4260.31,5549.88,16.90,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01026,15,1582.17,1190.40,- 1.18,23732.55,17856.00,8434.41,-5876.55,(24.76),
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,304,278.72,407.50,- 0.79,84730.88,123880.00,11811.11,39149.12,46.20,
BHAFOR,BHARAT FORGE LIMITED,INE465A01025,10,1540.55,1941.00,- 0.83,15405.50,19410.00,(2706.76),4004.50,25.99,
BHAGEA,BHARAT GEARS LIMITED,INE561C01019,20,127.67,112.46,- 5.82,2553.40,2249.20,(5078.80),-304.20,(11.91),
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,24,85.53,296.85,- 0.42,2052.72,7124.40,(8722.19),5071.68,247.07,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,60,276.32,411.25,- 1.32,16579.20,24675.00,4656.11,8095.80,48.83,
BLIGVS,BLISS GVS PHARMA LIMITED,INE416D01022,90,263.60,416.35,- 2.10,23724.00,37471.50,0.00,13747.50,57.95,
BLUSTA,BLUE STAR LTD,INE472A01039,8,1769.80,1560.00,- 1.83,14158.40,12480.00,35319.65,-1678.40,(11.85),
BOSLIM,BOSCH LIMITED,INE323A01026,1,35356.59,37040.00,+ 1.13,35356.59,37040.00,509.94,1683.41,4.76,
BSE,BSE LIMITED,INE118H01025,22,2692.36,4102.80,- 1.04,59231.92,90261.60,44256.93,31029.68,52.39,
CANBAN,CANARA BANK,INE476A01022,290,112.81,129.88,- 0.70,32714.90,37665.20,6380.06,4950.30,15.13,
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,20,1238.44,1242.50,- 0.17,24768.80,24850.00,(1862.76),81.20,0.33,
CESC,CESC LIMITED,INE486A01021,130,163.91,179.95,- 1.18,21308.30,23393.50,1870.81,2085.20,9.79,
CHOINT,CHOICE INTERNATIONAL LTD,INE102B01014,25,590.26,669.50,- 0.42,14756.50,16737.50,8989.07,1981.00,13.42,
