score_date,symbol,enhanced_fund_score,earnings_quality,sales_growth,financial_strength,institutional_backing,processed_date,source_file
2026-08-13,IDEAFORGE,55.07,56.0,51.67,49.25,66.0,2026-08-13,tracker_enrich_derived
2026-08-15,IDFCFIRSTB,58.11,43.33,82.5,47.5,71.0,2026-08-15,compute_fund_scores_from_db
2026-06-29,IEX,83.87,78.0,81.67,92.25,92.0,2026-06-29,tracker_enrich_derived
2026-07-07,IFBIND,77.49,82.0,71.67,82.5,68.5,2026-07-07,tracker_enrich_derived
2026-06-29,IFGLEXPOR,57.46,45.0,68.33,56.75,73.5,2026-06-29,tracker_enrich_derived
2026-06-22,IGARASHI,58.14,55.0,55.0,64.33,63.5,2026-06-22,tracker_enrich_derived
2026-06-18,IGIL,81.38,81.0,80.0,89.75,73.5,2026-06-18,tracker_enrich_derived
2026-07-09,IGL,59.23,40.0,58.33,82.5,81.0,2026-07-09,tracker_enrich_derived
2026-08-15,IGL,58.75,43.75,60.0,90.0,55.0,2026-08-15,compute_fund_scores_from_db
2026-08-03,IGPL,53.58,47.6,46.67,63.0,68.5,2026-08-03,tracker_enrich_derived
2026-06-22,IIFL,68.48,83.75,55.0,56.67,66.0,2026-06-22,tracker_enrich_derived
2026-06-18,IIFLCAPS,60.7,52.0,65.0,68.75,66.0,2026-06-18,tracker_enrich_derived
2026-07-06,IITL,36.35,25.0,25.0,51.75,65.0,2026-07-06,tracker_enrich_derived
2026-07-03,IKIO,72.0,77.6,83.33,53.0,63.5,2026-07-03,tracker_enrich_derived
2026-06-18,IKS,84.19,90.0,81.67,83.75,73.5,2026-06-18,tracker_enrich_derived
2026-08-15,IKS,88.91,93.75,90.0,85.67,78.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,IMFA,51.48,53.7,40.83,57.71,55.0,,organized/data/fundamental_scores_database.csv
2026-07-10,IMFA,68.4,69.0,65.0,74.0,65.0,2026-07-10,tracker_enrich_derived
2026-06-29,INA,82.12,89.6,95.0,65.0,63.5,2026-06-29,tracker_enrich_derived
2026-06-18,INDGN,67.14,49.6,80.0,82.5,72.0,2026-06-18,tracker_enrich_derived
2026-06-22,INDHOTEL,72.5,69.0,70.0,80.0,76.0,2026-06-22,tracker_enrich_derived
2026-07-09,INDIACEM,71.93,88.25,60.0,49.25,78.5,2026-07-09,tracker_enrich_derived
2026-06-29,INDIAGLYCO,73.26,84.6,61.67,71.25,65.0,2026-06-29,tracker_enrich_derived
2026-06-22,INDIAMART,66.92,50.0,71.67,88.0,76.0,2026-06-22,tracker_enrich_derived
2026-06-22,INDIANB,62.36,63.75,55.0,56.67,78.5,2026-06-22,tracker_enrich_derived
2026-08-15,INDIANB,67.94,66.67,70.0,60.0,78.5,2026-08-15,compute_fund_scores_from_db
2026-07-08,INDIANCARD,47.11,31.0,48.33,65.5,63.5,2026-07-08,tracker_enrich_derived
2026-06-22,INDIANHUME,57.27,55.0,55.0,60.0,63.5,2026-06-22,tracker_enrich_derived
2026-06-29,INDIASHLTR,73.28,90.0,55.0,60.67,76.0,2026-06-29,tracker_enrich_derived
2026-06-22,INDIGO,50.23,28.75,63.33,53.75,81.0,2026-06-22,tracker_enrich_derived
2026-06-25,INDIGOPNTS,72.78,68.0,68.33,82.5,80.0,2026-06-25,tracker_enrich_derived
2026-06-22,INDIQUBE,56.52,55.0,55.0,45.0,78.5,2026-06-22,tracker_enrich_derived
2026-06-24,INDNIPPON,80.62,89.6,80.0,76.25,63.5,2026-06-24,tracker_enrich_derived
2026-06-18,INDOAMIN,75.28,86.0,68.33,74.0,60.0,2026-06-18,tracker_enrich_derived
2026-06-23,INDOBORAX,73.2,77.0,75.0,80.0,51.0,2026-06-23,tracker_enrich_derived
2026-06-22,INDOCO,57.25,47.5,65.0,53.75,75.0,2026-06-22,tracker_enrich_derived
2025-08-11,INDOCOUNT,10.0,10.0,10.0,10.0,10.0,,organized/data/fundamental_scores_database.csv
2026-06-22,INDOFARM,71.02,71.6,80.0,60.5,68.5,2026-06-22,tracker_enrich_derived
2026-06-22,INDOSTAR,52.86,43.75,55.0,56.67,68.5,2026-06-22,tracker_enrich_derived
2026-06-29,INDOTHAI,85.95,93.75,95.0,78.5,60.0,2026-06-29,tracker_enrich_derived
2026-06-23,INDRAMEDCO,63.9,55.0,55.0,92.0,65.0,2026-06-23,tracker_enrich_derived
2025-08-11,INDSWFTLAB,61.64,70.87,55.0,56.46,55.0,,organized/data/fundamental_scores_database.csv
2026-06-29,INDSWFTLAB,55.07,50.6,58.33,51.75,66.0,2026-06-29,tracker_enrich_derived
2026-06-18,INDUSINDBK,50.07,42.5,55.0,43.33,71.0,2026-06-18,tracker_enrich_derived
2026-08-15,INDUSINDBK,43.27,25.0,52.5,47.5,71.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,INDUSTOWER,65.28,58.0,53.33,80.0,85.0,2026-06-22,tracker_enrich_derived
2026-08-15,INDUSTOWER,65.78,58.75,60.0,72.67,85.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,INFOBEAN,81.91,88.0,78.33,88.0,63.5,2026-06-22,tracker_enrich_derived
2026-07-09,INFY,75.32,77.0,61.67,92.25,71.0,2026-07-09,tracker_enrich_derived
2026-08-13,INGERRAND,65.18,55.0,55.0,92.0,73.5,2026-08-13,tracker_enrich_derived
2026-07-08,INNOVACAP,70.44,67.6,75.0,67.0,75.0,2026-07-08,tracker_enrich_derived
2026-07-03,INNOVISION,74.44,75.0,81.67,68.75,68.5,2026-07-03,tracker_enrich_derived
2026-06-22,INOXGREEN,68.6,76.25,55.0,69.25,70.0,2026-06-22,tracker_enrich_derived
2025-08-11,INOXINDIA,64.84,70.43,66.0,59.57,55.0,,organized/data/fundamental_scores_database.csv
2026-06-29,INOXINDIA,79.88,81.0,80.0,82.25,73.5,2026-06-29,tracker_enrich_derived
2026-08-15,INOXINDIA,80.33,78.75,87.5,93.5,55.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,INTELLECT,75.98,70.0,83.33,82.5,71.0,2026-06-22,tracker_enrich_derived
2026-06-23,INTERARCH,60.25,55.0,55.0,70.0,70.0,2026-06-23,tracker_enrich_derived
2026-08-15,IOB,80.28,95.0,80.0,60.0,68.5,2026-08-15,compute_fund_scores_from_db
2026-07-09,IOC,73.39,85.6,50.0,77.0,75.0,2026-07-09,tracker_enrich_derived
2026-06-16,IOLCP,72.04,78.6,65.0,76.75,60.0,2026-06-16,tracker_enrich_derived
2026-06-22,IONEXCHANG,57.05,41.0,75.0,60.0,66.0,2026-06-22,tracker_enrich_derived
2025-08-11,IPCALAB,60.19,66.3,55.0,58.35,55.0,,organized/data/fundamental_scores_database.csv
2026-07-03,IPCALAB,74.58,78.0,63.33,77.0,81.0,2026-07-03,tracker_enrich_derived
2026-08-15,IPCALAB,82.73,91.25,75.0,76.67,81.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,IPL,74.97,78.6,80.0,70.0,63.5,2026-06-22,tracker_enrich_derived
2026-08-15,IRB,56.23,51.25,60.0,46.67,76.0,2026-08-15,compute_fund_scores_from_db
2026-06-29,IRCON,52.96,48.0,53.33,50.75,68.5,2026-06-29,tracker_enrich_derived
2026-06-29,IRCTC,72.11,62.0,68.33,92.25,78.5,2026-06-29,tracker_enrich_derived
2026-08-15,IRCTC,78.62,73.75,75.0,93.0,78.5,2026-08-15,compute_fund_scores_from_db
2026-06-22,IREDA,60.36,65.0,55.0,51.67,68.5,2026-06-22,tracker_enrich_derived
2026-08-15,IREDA,76.73,78.33,92.5,60.0,68.5,2026-08-15,compute_fund_scores_from_db
2026-06-22,IRFC,60.02,55.0,55.0,70.0,68.5,2026-06-22,tracker_enrich_derived
2026-06-22,IRIS,73.07,75.6,73.33,76.75,61.0,2026-06-22,tracker_enrich_derived
2026-06-22,IRMENERGY,63.42,61.0,61.67,69.25,65.0,2026-06-22,tracker_enrich_derived
2026-07-31,ISGEC,57.61,40.0,68.33,67.5,73.5,2026-07-31,tracker_enrich_derived
2026-08-03,ITBETA,55.0,55.0,55.0,55.0,55.0,2026-08-03,tracker_enrich_derived
2026-06-29,ITC,64.3,52.0,45.0,92.25,92.0,2026-06-29,tracker_enrich_derived
2026-08-15,ITC,65.65,48.75,55.0,93.0,92.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,ITCHOTELS,81.63,92.0,78.33,73.0,71.0,2026-06-22,tracker_enrich_derived
2026-08-15,ITCHOTELS,70.74,77.5,62.5,67.33,71.0,2026-08-15,compute_fund_scores_from_db
2026-06-17,ITDC,62.73,64.0,40.0,88.0,63.5,2026-06-17,tracker_enrich_derived
2026-06-22,ITI,67.94,81.25,66.67,46.25,63.5,2026-06-22,tracker_enrich_derived
2026-06-22,IVALUE,75.77,74.0,76.67,85.5,66.0,2026-06-22,tracker_enrich_derived
2026-07-06,IVP,59.27,55.0,55.0,70.0,63.5,2026-07-06,tracker_enrich_derived
2026-07-07,IVZINGOLD,55.0,55.0,55.0,55.0,55.0,2026-07-07,tracker_enrich_derived
2026-06-22,IXIGO,78.42,79.0,76.67,69.25,92.0,2026-06-22,tracker_enrich_derived
2026-07-10,IZMO,71.46,67.6,91.67,65.5,56.0,2026-07-10,tracker_enrich_derived
2025-08-11,J&KBANK,61.46,70.95,56.0,54.17,55.0,,organized/data/fundamental_scores_database.csv
2026-07-03,J&KBANK,68.08,83.75,55.0,51.67,70.0,2026-07-03,tracker_enrich_derived
2026-06-22,JAGSNPHARM,59.27,55.0,55.0,70.0,63.5,2026-06-22,tracker_enrich_derived
2026-06-22,JAICORPLTD,70.18,87.0,45.0,73.0,63.5,2026-06-22,tracker_enrich_derived
2026-06-22,JAINREC,74.76,70.0,88.33,68.25,73.5,2026-06-22,tracker_enrich_derived
2026-08-15,JAINREC,84.64,85.0,95.0,79.33,73.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,JAMNAAUTO,48.3,49.57,35.62,56.59,55.0,,organized/data/fundamental_scores_database.csv
2026-07-07,JAMNAAUTO,80.11,83.6,76.67,88.0,66.0,2026-07-07,tracker_enrich_derived
2026-06-22,JARO,60.1,55.0,55.0,73.0,65.0,2026-06-22,tracker_enrich_derived
2026-06-22,JASH,67.15,60.0,80.0,73.75,56.0,2026-06-22,tracker_enrich_derived
2026-06-29,JAYBARMARU,76.91,89.6,71.67,70.75,60.0,2026-06-29,tracker_enrich_derived
2026-06-29,JAYKAY,78.14,84.0,81.67,73.0,63.5,2026-06-29,tracker_enrich_derived
2025-08-11,JAYNECOIND,54.22,51.96,51.0,62.17,55.0,,organized/data/fundamental_scores_database.csv
2025-08-11,JBCHEPHARM,62.27,64.78,64.0,60.52,55.0,,organized/data/fundamental_scores_database.csv
2026-06-29,JBCHEPHARM,66.52,63.0,51.67,85.0,76.0,2026-06-29,tracker_enrich_derived
2025-08-11,JBMA,56.91,66.09,45.71,53.96,55.0,,organized/data/fundamental_scores_database.csv
2026-07-07,JBMA,71.3,78.6,78.33,53.75,63.5,2026-07-07,tracker_enrich_derived
2026-06-22,JGCHEM,68.53,59.0,75.0,79.5,68.5,2026-06-22,tracker_enrich_derived
2025-08-11,JINDALPOLY,64.1,65.65,70.0,60.45,55.0,,organized/data/fundamental_scores_database.csv
2026-08-13,JINDALPOLY,40.67,28.75,30.0,60.75,63.5,2026-08-13,tracker_enrich_derived
2026-06-17,JINDALSAW,53.62,44.0,40.0,71.25,78.5,2026-06-17,tracker_enrich_derived
2025-08-11,JINDALSTEL,54.81,56.52,49.29,58.12,55.0,,organized/data/fundamental_scores_database.csv
2026-07-08,JINDALSTEL,72.77,74.6,70.0,64.5,83.5,2026-07-08,tracker_enrich_derived
2026-06-18,JINDRILL,73.59,71.0,81.67,76.25,63.5,2026-06-18,tracker_enrich_derived
2026-06-22,JIOFIN,68.18,64.0,88.33,49.25,71.0,2026-06-22,tracker_enrich_derived
2026-08-15,JIOFIN,71.7,66.25,95.0,54.0,71.0,2026-08-15,compute_fund_scores_from_db
2026-06-23,JKCEMENT,79.37,83.6,78.33,71.0,81.0,2026-06-23,tracker_enrich_derived
2026-08-15,JKCEMENT,78.18,80.75,80.0,68.67,81.0,2026-08-15,compute_fund_scores_from_db
2026-06-23,JKIL,71.17,63.6,73.33,80.0,76.0,2026-06-23,tracker_enrich_derived
2026-06-29,JKLAKSHMI,74.77,81.6,68.33,68.25,76.0,2026-06-29,tracker_enrich_derived
2026-06-22,JKPAPER,59.29,47.6,65.0,63.75,75.0,2026-06-22,tracker_enrich_derived
2026-06-22,JKTYRE,71.86,75.6,61.67,71.0,80.0,2026-06-22,tracker_enrich_derived
2026-08-15,JKTYRE,76.53,88.25,65.0,68.67,75.0,2026-08-15,compute_fund_scores_from_db
2026-06-24,JLHL,75.98,74.0,78.33,77.0,76.0,2026-06-24,tracker_enrich_derived
2026-06-29,JMFINANCIL,65.28,78.0,48.33,53.75,75.0,2026-06-29,tracker_enrich_derived
2026-06-16,JNKINDIA,81.85,85.6,93.33,66.25,73.5,2026-06-16,tracker_enrich_derived
2026-08-15,JNKINDIA,82.15,80.0,92.5,80.0,73.5,2026-08-15,compute_fund_scores_from_db
2026-07-08,JSFB,53.9,55.0,55.0,45.0,61.0,2026-07-08,tracker_enrich_derived
2026-07-09,JSL,75.22,77.6,65.0,77.0,83.5,2026-07-09,tracker_enrich_derived
2026-08-15,JSL,77.41,83.25,65.0,76.67,83.5,2026-08-15,compute_fund_scores_from_db
2026-07-09,JSLL,79.39,80.0,76.67,89.75,68.5,2026-07-09,tracker_enrich_derived
2026-06-17,JSWCEMENT,64.39,53.25,71.67,70.75,73.5,2026-06-17,tracker_enrich_derived
2026-07-08,JSWENERGY,78.14,83.0,86.67,53.75,83.5,2026-07-08,tracker_enrich_derived
2026-06-17,JSWINFRA,75.59,75.0,81.67,70.75,73.5,2026-06-17,tracker_enrich_derived
2026-08-15,JSWINFRA,75.69,72.5,85.0,68.33,78.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,JSWSTEEL,47.74,48.48,39.29,51.4,55.0,,organized/data/fundamental_scores_database.csv
2026-07-08,JSWSTEEL,77.14,89.6,65.0,68.25,76.0,2026-07-08,tracker_enrich_derived
2025-08-11,JTEKTINDIA,51.54,50.22,47.0,57.27,55.0,,organized/data/fundamental_scores_database.csv
2026-07-08,JTEKTINDIA,73.84,71.0,76.67,76.25,73.5,2026-07-08,tracker_enrich_derived
