INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Energy,45.88,340,TORNTPOWER,TORRENT POWER LTD,MICRO_CAP,1327,1.55,NA,1.04,34.7,58.7,BULLISH,4.84,3,6,0,NA,NA,NA,NA,NA,282655873.9,SELL,2026-01-01
Nifty Next 50,44.82,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
Nifty Next 50,44.82,58,VEDL,VEDANTA LIMITED,MID_CAP,602.65,-0.29,NA,11.93,46.7,77.6,STRONG_BULLISH,24.14,15,4,0,NA,NA,NA,NA,NA,2561277517.35,WEAK_HOLD,2026-01-01
Nifty Next 50,44.82,346,ICICIPRULI,ICICI PRU LIFE INS CO LTD,MICRO_CAP,674.3,0.91,NA,9.37,42,72.2,STRONG_BULLISH,8.35,9,6,0,NA,NA,NA,NA,NA,263998129.5,WEAK_HOLD,2026-01-01
Nifty Next 50,44.82,230,MARICO,MARICO LIMITED,SMALL_CAP,760.45,1.31,NA,6.01,40,66.1,STRONG_BULLISH,3.13,3,11,0,NA,NA,NA,NA,NA,537269202.4,WEAK_HOLD,2026-01-01
Nifty Next 50,44.82,6,ADANIPOWER,ADANI POWER LTD,LARGE_CAP,148.76,4.04,NA,1.36,38.7,43.1,STRONG_BEARISH,-2.89,5,18,0,10,10,10,10,10,9583739872.95,WEAK_HOLD,2026-01-01
Nifty Infrastructure,42.12,64,BHEL,BHEL,MID_CAP,291.45,1.39,NA,2.08,62,63.2,BULLISH,15.12,9,8,15,53.94,54.13,47,55.45,63,2309206051.05,HOLD,2026-01-01
Nifty Infrastructure,42.12,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4140.4,1.39,NA,2.73,49.3,68,BULLISH,7.08,7,9,0,NA,NA,NA,NA,NA,5622734970.8,WEAK_HOLD,2026-01-01
Nifty Infrastructure,42.12,6,ADANIPOWER,ADANI POWER LTD,LARGE_CAP,148.76,4.04,NA,1.36,38.7,43.1,STRONG_BEARISH,-2.89,5,18,0,10,10,10,10,10,9583739872.95,WEAK_HOLD,2026-01-01
Nifty Infrastructure,42.12,99,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1481.1,0.77,NA,-2.44,31.3,47.9,BULLISH,0.54,1,11,0,10,10,10,10,10,1455559379,SELL,2026-01-01
Nifty Infrastructure,42.12,39,NTPC,NTPC LTD,LARGE_CAP,336.3,2.05,NA,2.34,29.3,65,STRONG_BEARISH,-5.5,2,11,0,NA,NA,NA,NA,NA,3465863761.5,SELL,2026-01-01
Nifty FMCG,41.46,151,VBL,VARUN BEVERAGES LIMITED,SMALL_CAP,491.75,0.39,NA,2.15,45.3,65,BULLISH,7.06,9,12,0,NA,NA,NA,NA,NA,923915317.45,WEAK_HOLD,2026-01-01
Nifty FMCG,41.46,117,NESTLEIND,NESTLE INDIA LIMITED,MID_CAP,1295,0.54,NA,2.87,44,63.5,BEARISH,6.86,8,9,0,NA,NA,NA,NA,NA,1205282372.5,WEAK_HOLD,2026-01-01
Nifty FMCG,41.46,226,RADICO,RADICO KHAITAN LTD,SMALL_CAP,3253.9,-1.35,NA,1.32,41.3,53,BULLISH,6.19,6,10,0,NA,NA,NA,NA,NA,549678726.7,WEAK_HOLD,2026-01-01
Nifty FMCG,41.46,230,MARICO,MARICO LIMITED,SMALL_CAP,760.45,1.31,NA,6.01,40,66.1,STRONG_BULLISH,3.13,3,11,0,NA,NA,NA,NA,NA,537269202.4,WEAK_HOLD,2026-01-01
Nifty FMCG,41.46,128,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1176.9,-1.27,NA,1.26,36.7,55.1,BULLISH,-0.37,1,8,0,NA,NA,NA,NA,NA,1118388224.9,WEAK_HOLD,2026-01-01
Nifty Pharma,39.46,245,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1193,0.85,NA,-1.83,50.7,51.7,BULLISH,5.29,4,8,20,67.41,70.43,70,59.18,66,486959840.5,HOLD,2026-01-01
Nifty Pharma,39.46,235,BIOCON,BIOCON LIMITED.,SMALL_CAP,387.75,-1.56,NA,-2.82,48,48.9,BULLISH,6.25,6,8,15,58.99,60.43,56,56.82,63,522392202.3,WEAK_HOLD,2026-01-01
Nifty Pharma,39.46,176,LUPIN,LUPIN LIMITED,SMALL_CAP,2102.8,-0.32,NA,0.97,39.3,61.9,STRONG_BULLISH,2.72,3,12,0,NA,NA,NA,NA,NA,796877636.2,WEAK_HOLD,2026-01-01
Nifty Pharma,39.46,223,GLENMARK,GLENMARK PHARMACEUTICALS,SMALL_CAP,2026.2,-0.44,NA,2.41,31.3,66.4,BULLISH,-1.51,3,12,0,NA,NA,NA,NA,NA,562980795.5,SELL,2026-01-01
