"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
121,"BLACKBUCK","BLACKBUCK","MID_CAP",611.8,-3.41,-4.67,NA,48.7,62.1,"STRONG_BULLISH",46.03,12,6,20,62.86,1239643707.35,"WEAK_HOLD",2025-09-02
258,"ANANTRAJ","ANANTRAJ","SMALL_CAP",538.2,3.27,1.21,NA,48.7,47.7,"BEARISH",8.91,4,16,15,51.15,572496244.15,"WEAK_HOLD",2025-09-02
531,"BBL","BBL","MICRO_CAP",3029.8,1.71,1.61,NA,48.7,59.3,"BEARISH",11.33,8,9,15,50.99,188075580.6,"WEAK_HOLD",2025-09-02
548,"CCL","CCL","MICRO_CAP",923.6,2.06,6.39,NA,48.7,61.3,"STRONG_BULLISH",21.25,7,11,15,55.23,174528405.7,"WEAK_HOLD",2025-09-02
822,"INDNIPPON","INDNIPPON","MICRO_CAP",829.65,4.26,5.99,NA,48.7,61.5,"BULLISH",21.05,12,14,0,NA,73022642.5,"WEAK_HOLD",2025-09-02
1674,"BALKRISHNA","BALKRISHNA","MICRO_CAP",22.57,2.22,3.06,NA,48.7,61.7,"BULLISH",14.09,9,14,15,50.18,2389509.69,"WEAK_HOLD",2025-09-02
1800,"APOLSINHOT","APOLSINHOT","MICRO_CAP",1375.9,-0.55,-0.78,NA,48.7,47,"BULLISH",11.32,5,12,20,61.59,1147744.2,"WEAK_HOLD",2025-09-02
130,"GARUDA","GARUDA","MID_CAP",208.59,-4.99,1.32,NA,48,60.3,"STRONG_BULLISH",75.57,16,8,0,NA,1140785902.12,"WEAK_HOLD",2025-09-02
199,"TAJGVK","TAJGVK","SMALL_CAP",430.75,5.4,1.96,NA,48,54.6,"BULLISH",11.81,10,16,0,NA,773681767.6,"WEAK_HOLD",2025-09-02
261,"DATAMATICS","DATAMATICS","SMALL_CAP",990.4,-3.02,-0.79,NA,48,56.1,"BULLISH",67.31,9,6,15,55.34,563694481.5,"WEAK_HOLD",2025-09-02
326,"BATAINDIA","BATAINDIA","MICRO_CAP",1157.4,3.76,8.68,NA,48,53,"STRONG_BEARISH",0.27,2,18,20,69.28,416826167,"WEAK_HOLD",2025-09-02
330,"COFFEEDAY","COFFEEDAY","MICRO_CAP",47.68,0.97,10.99,NA,48,67.5,"BULLISH",46.92,14,6,15,55.94,411395730.03,"WEAK_HOLD",2025-09-02
462,"TIRUMALCHM","TIRUMALCHM","MICRO_CAP",307.5,4.43,9.18,NA,48,62.4,"BULLISH",12.14,11,14,0,NA,245771782.45,"WEAK_HOLD",2025-09-02
516,"MANGLMCEM","MANGLMCEM","MICRO_CAP",773.15,5.13,11.24,NA,48,63.6,"BEARISH",11.12,13,14,0,NA,203608948.65,"WEAK_HOLD",2025-09-02
770,"CYIENTDLM","CYIENTDLM","MICRO_CAP",434.55,2.07,1.46,NA,48,46.8,"BEARISH",-0.57,2,14,25,71.54,86929612.55,"WEAK_HOLD",2025-09-02
949,"ASIANENE","ASIANENE","MICRO_CAP",356.5,-0.13,-3.1,NA,48,57.7,"STRONG_BULLISH",24.81,9,2,25,75.48,47488890.5,"WEAK_HOLD",2025-09-02
1015,"RUCHIRA","RUCHIRA","MICRO_CAP",149.77,2.32,2,NA,48,64.3,"STRONG_BULLISH",14.42,12,20,0,NA,36604410.03,"WEAK_HOLD",2025-09-02
1154,"CANTABIL","CANTABIL","MICRO_CAP",258.75,-0.37,0.12,NA,48,51.4,"BULLISH",5.26,2,12,20,60.3,24208693.9,"WEAK_HOLD",2025-09-02
1960,"DAMODARIND","DAMODARIND","MICRO_CAP",36.23,2.87,0.5,NA,48,49.6,"BEARISH",4.06,1,15,25,71.59,374411.08,"WEAK_HOLD",2025-09-02
33,"BALRAMCHIN","BALRAMCHIN","LARGE_CAP",566.85,4.65,1.46,NA,47.3,49,"BULLISH",-0.89,5,14,20,69.75,2983846790.05,"WEAK_HOLD",2025-09-02
38,"ATHERENERG","ATHERENERG","LARGE_CAP",496.7,2.03,15.11,NA,47.3,80.1,"BULLISH",58.68,14,2,20,63.36,2821957841.5,"WEAK_HOLD",2025-09-02
137,"BIOCON","BIOCON","MID_CAP",356.1,1.01,-0.61,NA,47.3,44.3,"BEARISH",5.13,2,15,15,58.99,1078829762.75,"WEAK_HOLD",2025-09-02
158,"GSFC","GSFC","SMALL_CAP",214.37,4.54,7.28,NA,47.3,58.7,"STRONG_BULLISH",13.51,9,14,0,NA,993786377.6,"WEAK_HOLD",2025-09-02
182,"ARE&M","ARE&M","SMALL_CAP",1018.5,0.67,4.37,NA,47.3,65,"BEARISH",8.73,5,12,15,54.31,873961829.05,"WEAK_HOLD",2025-09-02
241,"ALKEM","ALKEM","SMALL_CAP",5246.5,-1.02,-3.24,NA,47.3,53.8,"BULLISH",13.69,7,12,15,56.97,606600410,"WEAK_HOLD",2025-09-02
324,"DALMIASUG","DALMIASUG","MICRO_CAP",377.55,1.07,1.67,NA,47.3,53.7,"BEARISH",-1.31,5,17,20,69.58,420488070.7,"WEAK_HOLD",2025-09-02
395,"ASHAPURMIN","ASHAPURMIN","MICRO_CAP",551.7,1.73,13.71,NA,47.3,61.4,"BULLISH",37.74,9,4,15,52.76,322636898.1,"WEAK_HOLD",2025-09-02
407,"CGCL","CGCL","MICRO_CAP",188.38,-0.31,-1.25,NA,47.3,54.7,"STRONG_BULLISH",16.22,8,12,15,53.51,306374969.1,"WEAK_HOLD",2025-09-02
454,"HERITGFOOD","HERITGFOOD","MICRO_CAP",483.3,2.83,3.69,NA,47.3,57.5,"BULLISH",12.88,10,14,0,NA,252685922.6,"WEAK_HOLD",2025-09-02
459,"AUTOBEES","AUTOBEES","MICRO_CAP",263.25,-0.05,1.19,NA,47.3,68.3,"STRONG_BULLISH",12.82,11,12,0,10,249274822.82,"WEAK_HOLD",2025-09-02
607,"WCIL","WCIL","MICRO_CAP",128.2,4.35,-0.18,NA,47.3,61.5,"STRONG_BULLISH",22.29,11,16,0,NA,145135272.02,"WEAK_HOLD",2025-09-02
644,"GULFOILLUB","GULFOILLUB","MICRO_CAP",1279.4,0.47,3.22,NA,47.3,64.9,"BULLISH",10.16,9,15,0,NA,132702355.1,"WEAK_HOLD",2025-09-02
665,"NDRAUTO","NDRAUTO","MICRO_CAP",1055.7,2.89,3.59,NA,47.3,57.6,"BULLISH",7.03,8,18,0,NA,123755581.5,"WEAK_HOLD",2025-09-02
854,"ARIES","ARIES","MICRO_CAP",424.25,-2.17,-1.06,NA,47.3,57.8,"STRONG_BULLISH",38.48,12,8,15,55.33,65541094.15,"WEAK_HOLD",2025-09-02
1124,"CEIGALL","CEIGALL","MICRO_CAP",253.84,2.66,2.81,NA,47.3,49.9,"BEARISH",7.87,2,20,15,52.84,26524854.31,"WEAK_HOLD",2025-09-02
1795,"BBTCL","BBTCL","MICRO_CAP",201.29,-0.16,-0.9,NA,47.3,55.7,"STRONG_BULLISH",28.81,8,8,20,62.47,1162396.49,"WEAK_HOLD",2025-09-02
6,"VIMTALABS","VIMTALABS","LARGE_CAP",763.9,16.83,21.01,NA,46.7,66.2,"BULLISH",63.74,16,8,0,NA,10782875835.3,"WEAK_HOLD",2025-09-02
12,"GREAVESCOT","GREAVESCOT","LARGE_CAP",226.41,10.38,11.98,NA,46.7,63.5,"BULLISH",19.8,11,12,0,NA,5632086810.73,"WEAK_HOLD",2025-09-02
196,"TFCILTD","TFCILTD","SMALL_CAP",335,4.04,9.85,NA,46.7,73.3,"STRONG_BULLISH",47.44,14,10,0,NA,781911222,"WEAK_HOLD",2025-09-02
305,"DELHIVERY","DELHIVERY","MICRO_CAP",472.05,-0.36,-1.35,NA,46.7,62.8,"STRONG_BULLISH",35.69,10,10,15,53.74,449583587.65,"WEAK_HOLD",2025-09-02
337,"EPACK","EPACK","MICRO_CAP",387.25,0.19,0.75,NA,46.7,55.3,"STRONG_BULLISH",19.24,7,15,0,NA,405313363.1,"WEAK_HOLD",2025-09-02
379,"DIACABS","DIACABS","MICRO_CAP",143.69,2.25,-0.53,NA,46.7,42.5,"BEARISH",42.29,9,18,0,NA,335914268.81,"WEAK_HOLD",2025-09-02
421,"VSTTILLERS","VSTTILLERS","MICRO_CAP",5202,-4.43,-3.43,NA,46.7,59.2,"STRONG_BULLISH",44.96,13,10,0,NA,291597416.5,"WEAK_HOLD",2025-09-02
1576,"ENIL","ENIL","MICRO_CAP",164.9,2.84,-3.56,NA,46.7,56,"STRONG_BULLISH",19.5,10,16,0,NA,4178908.8,"WEAK_HOLD",2025-09-02
1675,"ASHIMASYN","ASHIMASYN","MICRO_CAP",24.42,0.62,-1.53,NA,46.7,45.5,"NEUTRAL",23.54,6,9,25,70.43,2389076.06,"WEAK_HOLD",2025-09-02
64,"JAYNECOIND","JAYNECOIND","MID_CAP",59.06,2.59,0.41,NA,46,59.3,"STRONG_BULLISH",56.31,12,14,0,NA,2136720953.23,"WEAK_HOLD",2025-09-02
193,"APTUS","APTUS","SMALL_CAP",324.15,1.68,-3.56,NA,46,40,"BULLISH",6.72,6,11,15,53.73,795611698.45,"WEAK_HOLD",2025-09-02
249,"VINCOFE","VINCOFE","SMALL_CAP",148.58,0.75,-3,NA,46,51.5,"STRONG_BULLISH",27.86,12,11,0,NA,586083284.68,"WEAK_HOLD",2025-09-02
423,"GALLANTT","GALLANTT","MICRO_CAP",607.9,3.19,0.98,NA,46,43,"BULLISH",23.82,10,14,0,NA,284739965.05,"WEAK_HOLD",2025-09-02
447,"CHOICEIN","CHOICEIN","MICRO_CAP",786.3,-0.76,-2.05,NA,46,54.5,"STRONG_BULLISH",15.39,7,12,15,54.36,257239023.2,"WEAK_HOLD",2025-09-02
495,"SFL","SFL","MICRO_CAP",739.35,3.45,2.59,NA,46,66.4,"STRONG_BULLISH",3.42,7,20,0,NA,219256233.55,"WEAK_HOLD",2025-09-02
635,"BOMDYEING","BOMDYEING","MICRO_CAP",172.99,0.55,-0.35,NA,46,53.2,"STRONG_BULLISH",21.71,8,11,15,58.79,136722350.37,"WEAK_HOLD",2025-09-02
704,"KRYSTAL","KRYSTAL","MICRO_CAP",697.15,3.36,4.26,NA,46,67.8,"BULLISH",66.53,12,12,0,NA,108945338.6,"WEAK_HOLD",2025-09-02
806,"DCMSHRIRAM","DCMSHRIRAM","MICRO_CAP",1241.2,1.49,-0.12,NA,46,36.2,"BEARISH",9.37,4,10,20,61.96,76235379.5,"WEAK_HOLD",2025-09-02
1082,"DDEVPLSTIK","DDEVPLSTIK","MICRO_CAP",318.7,2.03,3.01,NA,46,56.9,"STRONG_BULLISH",20.76,8,10,15,52.26,30062304.75,"WEAK_HOLD",2025-09-02
1153,"KMSUGAR","KMSUGAR","MICRO_CAP",29.29,6.66,4.01,NA,46,61,"BEARISH",6.91,8,20,0,NA,24380484.42,"WEAK_HOLD",2025-09-02
1331,"AMRUTANJAN","AMRUTANJAN","MICRO_CAP",730.1,1.37,3.72,NA,46,62.1,"BULLISH",4.09,3,12,25,75.02,12159088.1,"WEAK_HOLD",2025-09-02
1404,"CLEDUCATE","CLEDUCATE","MICRO_CAP",113.07,-1.08,-2.06,NA,46,63.8,"STRONG_BULLISH",28.68,12,6,15,59.78,9008303.98,"WEAK_HOLD",2025-09-02
1555,"BTML","BTML","MICRO_CAP",8.77,-3.2,8.41,NA,46,59.8,"BULLISH",7.94,7,4,25,72.5,4619102.58,"WEAK_HOLD",2025-09-02
1867,"BSHSL","BSHSL","MICRO_CAP",140.84,0.74,-2.42,NA,46,56.7,"BULLISH",6.73,3,10,25,76.04,774938.45,"WEAK_HOLD",2025-09-02
211,"ALOKINDS","ALOKINDS","SMALL_CAP",18.26,5.98,3.63,NA,45.3,47.6,"BEARISH",-0.27,4,12,20,68.43,735245877.21,"WEAK_HOLD",2025-09-02
247,"RAYMONDLSL","RAYMONDLSL","SMALL_CAP",1190.6,6.54,3.2,NA,45.3,55.4,"BULLISH",18.44,9,16,0,NA,588383526.7,"WEAK_HOLD",2025-09-02
291,"SJS","SJS","SMALL_CAP",1340.2,0.88,-1.54,NA,45.3,59.5,"STRONG_BULLISH",11.92,11,13,0,NA,470529924.4,"WEAK_HOLD",2025-09-02
