"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"INFY.NS","INE009A01021",2024-11-25,1916,1919.3,1882,1889.7,313.25,1902.25,12764638,"980558.5",281
"RELIANCE.NS","INE002A01018",2024-11-25,1290,1304.45,1282.45,1287,313.25,1265.4,28923341,"980558.5",281
"TCS.NS","INE467B01029",2024-11-25,4280,4328.1,4252.2,4315.1,313.25,4244.6,4052167,"980558.5",281
"INFY.NS","INE009A01021",2024-11-26,1904.95,1938.6,1897.3,1924.15,638.5,1889.7,6850495,"1371272834.5",28260
"RELIANCE.NS","INE002A01018",2024-11-26,1294.95,1297.85,1284.2,1295.7,638.5,1287,9247557,"1371272834.5",28260
"TCS.NS","INE467B01029",2024-11-26,4321.05,4366.6,4310,4352.7,638.5,4315.1,2060669,"1371272834.5",28260
"INFY.NS","INE009A01021",2024-11-27,1930.1,1941.4,1911.75,1924.5,639,1924.15,4447143,"268098922.7",15935
"RELIANCE.NS","INE002A01018",2024-11-27,1293.5,1303.85,1286,1293.2,639,1295.7,9572746,"268098922.7",15935
"TCS.NS","INE467B01029",2024-11-27,4358.95,4377.4,4324.05,4332.55,639,4352.7,1558993,"268098922.7",15935
"INFY.NS","INE009A01021",2024-11-28,1914.9,1914.9,1851.65,1856.65,1666.15,1924.5,8468790,"71072161.25",6411
"RELIANCE.NS","INE002A01018",2024-11-28,1289.95,1296.6,1269.05,1270.8,1666.15,1293.2,15027412,"71072161.25",6411
"TCS.NS","INE467B01029",2024-11-28,4319,4339.95,4233,4244.9,1666.15,4332.55,2558544,"71072161.25",6411
"INFY.NS","INE009A01021",2024-11-29,1851.1,1877,1845,1857.85,1668.25,1856.65,5244346,"145860172.65",13815
"RELIANCE.NS","INE002A01018",2024-11-29,1280,1299.5,1275.25,1292.2,1668.25,1270.8,13202307,"145860172.65",13815
"TCS.NS","INE467B01029",2024-11-29,4220,4298.7,4195.65,4270.85,1668.25,4244.9,2017425,"145860172.65",13815
"INFY.NS","INE009A01021",2024-12-02,1859,1882.8,1835.2,1879.8,33.46,1857.85,2868263,"6145933.21",1783
"RELIANCE.NS","INE002A01018",2024-12-02,1288,1311.35,1277.05,1309.15,33.46,1292.2,11024152,"6145933.21",1783
"TCS.NS","INE467B01029",2024-12-02,4270,4288.2,4230.05,4276.65,33.46,4270.85,1670944,"6145933.21",1783
"INFY.NS","INE009A01021",2024-12-03,1887,1899.75,1871.15,1892.1,289.8,1879.8,4715792,"130953276.2",9008
"RELIANCE.NS","INE002A01018",2024-12-03,1317,1326.8,1307,1323.3,289.8,1309.15,16869482,"130953276.2",9008
"TCS.NS","INE467B01029",2024-12-03,4314.35,4325,4265.45,4302.75,289.8,4276.65,2010905,"130953276.2",9008
