"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"APCOTEXIND.NS","INE116A01032",2025-08-01,428,438.45,421.6,424.25,236.5,427.5,73524,"48729806.54",5068
"APEX.NS","INE346W01013",2025-08-01,244.99,245,233.62,235.42,236.5,242.84,50381,"48729806.54",5068
"APLAPOLLO.NS","INE702C01027",2025-08-01,1600,1626.9,1585.6,1594.1,236.5,1601.2,1148633,"48729806.54",5068
"APLLTD.NS","INE901L01018",2025-08-01,977.9,978.75,947.6,959.05,236.5,977.9,79538,"48729806.54",5068
"APOLLO.NS","INE713T01028",2025-08-01,173,174.71,169,169.94,236.5,173.66,1586663,"48729806.54",5068
"APOLLOHOSP.NS","INE437A01024",2025-08-01,7538,7538,7331.5,7351.5,236.5,7498,215243,"48729806.54",5068
"APOLLOPIPE.NS","INE126J01016",2025-08-01,401,409.85,401,404.7,236.5,404.2,45435,"48729806.54",5068
"APOLLOTYRE.NS","INE438A01022",2025-08-01,450.7,454.7,439.2,440.85,236.5,449.7,227026,"48729806.54",5068
"APOLSINHOT.NS","INE451F01024",2025-08-01,1378,1415.9,1378,1410.1,236.5,1383.6,641,"48729806.54",5068
"APTUS.NS","INE852O01025",2025-08-01,329,353.8,327.65,338.5,236.5,327.65,4750847,"48729806.54",5068
"ARCHIDPLY.NS","INE877I01016",2025-08-01,111,113.75,108,109.13,236.5,111,27766,"48729806.54",5068
"ARE&M.NS","INE885A01032",2025-08-01,965.1,968.25,951,953.9,236.5,963.6,374294,"48729806.54",5068
"ARFIN.NS","INE784R01023",2025-08-01,34.3,37.66,34.3,37.66,236.5,34.24,334679,"48729806.54",5068
"ARIES.NS","INE298I01015",2025-08-01,389,411.7,383,385.55,236.5,390.75,373118,"48729806.54",5068
"ARIHANTCAP.NS","INE420B01036",2025-08-01,99.05,101.49,97.73,99.59,236.5,98.96,480255,"48729806.54",5068
"ARIHANTSUP.NS","INE643K01018",2025-08-01,421.9,430,420.9,427.65,236.5,420.6,54653,"48729806.54",5068
"ARISINFRA.NS","INE0H9P01028",2025-08-01,142.9,150.14,140.5,149.27,236.5,142.9,566979,"48729806.54",5068
"ARKADE.NS","INE0QRL01017",2025-08-01,191,191.5,184,185.3,236.5,190.17,840752,"48729806.54",5068
"ARMANFIN.NS","INE109C01017",2025-08-01,1636.3,1673.9,1602,1620.8,236.5,1636.2,18706,"48729806.54",5068
"AROGRANITE.NS","INE210C01013",2025-08-01,38,38,36,36.16,236.5,37.01,25648,"48729806.54",5068
"ARROWGREEN.NS","INE570D01018",2025-08-01,803,804,750,751.9,236.5,787.8,24692,"48729806.54",5068
"ARTEMISMED.NS","INE025R01021",2025-08-01,239.05,252,237.06,244.92,236.5,239.05,140287,"48729806.54",5068
"ARVEE.NS","INE006Z01016",2025-08-01,173.07,174,169,169,236.5,173.07,867,"48729806.54",5068
"ARVIND.NS","INE034A01011",2025-08-01,316.05,319,309.2,315.55,236.5,316.05,468087,"48729806.54",5068
"ARVINDFASN.NS","INE955V01021",2025-08-01,554,564.3,548,560.15,236.5,557.25,446120,"48729806.54",5068
"ARVSMART.NS","INE034S01021",2025-08-01,621.85,629.9,603,604.9,236.5,622.9,71841,"48729806.54",5068
"ASAHIINDIA.NS","INE439A01020",2025-08-01,840.5,848.8,810,814.8,236.5,840.05,87435,"48729806.54",5068
"ASAL.NS","INE900C01027",2025-08-01,490,497.4,477.5,481,236.5,489.75,32442,"48729806.54",5068
"ASALCBR.NS","INE073G01016",2025-08-01,1042,1049.9,997,1002.7,236.5,1032.9,83192,"48729806.54",5068
"ASHAPURMIN.NS","INE348A01023",2025-08-01,553.9,553.9,523.75,528.85,236.5,554.5,331396,"48729806.54",5068
"ASHIANA.NS","INE365D01021",2025-08-01,316,328.4,315.45,323.05,236.5,316.4,36605,"48729806.54",5068
"ASHOKA.NS","INE442H01029",2025-08-01,202,202.03,196.5,197.48,236.5,201.31,436120,"48729806.54",5068
"ASHOKAMET.NS","INE760Y01011",2025-08-01,17.67,17.9,17.12,17.25,236.5,17.51,73081,"48729806.54",5068
"ASHOKLEY.NS","INE208A01029",2025-08-01,121.05,121.25,117.72,120.35,236.5,121.05,13653423,"48729806.54",5068
"ASIANENE.NS","INE276G01015",2025-08-01,354.95,366,341,346.75,236.5,351.85,1287781,"48729806.54",5068
"ASIANHOTNR.NS","INE363A01022",2025-08-01,329.8,349.7,316.4,320.6,236.5,333.05,10684,"48729806.54",5068
"ASIANPAINT.NS","INE021A01026",2025-08-01,2378,2472,2378,2431,236.5,2396.1,2225293,"48729806.54",5068
"ASKAUTOLTD.NS","INE491J01022",2025-08-01,502,506.95,462,473.25,236.5,507.05,307725,"48729806.54",5068
"ASMS.NS","INE855F01042",2025-08-01,13.11,13.48,13.04,13.08,236.5,13.33,217245,"48729806.54",5068
"ASPINWALL.NS","INE991I01015",2025-08-01,285.85,294.8,285.05,293.25,236.5,286.35,5025,"48729806.54",5068
"ASTEC.NS","INE563J01010",2025-08-01,902,916,872.6,879.5,236.5,906.3,26786,"48729806.54",5068
"ASTERDM.NS","INE914M01019",2025-08-01,608.75,609.95,592.2,595.4,236.5,604.9,559309,"48729806.54",5068
"ASTRAL.NS","INE006I01046",2025-08-01,1399.2,1435,1396.2,1403.1,236.5,1401.2,799571,"48729806.54",5068
"ASTRAMICRO.NS","INE386C01029",2025-08-01,958.6,979.3,936.2,944.9,236.5,959.6,164442,"48729806.54",5068
"ASTRAZEN.NS","INE203A01020",2025-08-01,9175,9221,8840,8893.5,236.5,9186,16512,"48729806.54",5068
"ASTRON.NS","INE646X01014",2025-08-01,15.37,15.37,14.5,14.58,236.5,14.65,11623,"48729806.54",5068
"ATAM.NS","INE09KD01013",2025-08-01,99.3,100.89,97,97.73,236.5,98.81,9732,"48729806.54",5068
"ATGL.NS","INE399L01023",2025-08-01,617,617,592.7,595.4,236.5,604.1,827372,"48729806.54",5068
"ATHERENERG.NS","INE0LEZ01016",2025-08-01,352,355.2,345.35,347.3,236.5,350.35,814570,"48729806.54",5068
"ATL.NS","INE0NN701020",2025-08-01,30.41,30.9,29.5,29.7,236.5,30.41,227553,"48729806.54",5068
"ATLANTAA.NS","INE285H01022",2025-08-01,33.11,34.42,33.11,33.68,236.5,33.45,7435,"48729806.54",5068
"ATUL.NS","INE100A01010",2025-08-01,6640,6673,6473,6491.5,236.5,6629,56753,"48729806.54",5068
"ATULAUTO.NS","INE951D01028",2025-08-01,440.5,459,440.5,443.3,236.5,444.3,91164,"48729806.54",5068
"AUBANK.NS","INE949L01017",2025-08-01,741.5,751.45,739.05,741.05,236.5,741.5,2251668,"48729806.54",5068
"AURIONPRO.NS","INE132H01018",2025-08-01,1367.5,1390,1342.6,1362.1,236.5,1362.9,116856,"48729806.54",5068
"AUROPHARMA.NS","INE406A01037",2025-08-01,1142,1144,1075.3,1079.8,236.5,1139.8,2025491,"48729806.54",5068
"AURUM.NS","INE898S01029",2025-08-01,193.87,197.75,190.86,191.85,236.5,193.87,119347,"48729806.54",5068
"AUTOAXLES.NS","INE449A01011",2025-08-01,1880,1931.8,1830,1846.4,236.5,1878.7,15657,"48729806.54",5068
"AUTOBEES.NS","INF204KC1337",2025-08-01,242.6,244.14,240.7,240.88,236.5,242.6,173942,"48729806.54",5068
"AUTOIETF.NS","INF109KC10V2",2025-08-01,24.06,24.4,23.67,24.12,236.5,24.28,481493,"48729806.54",5068
"AUTOIND.NS","INE718H01014",2025-08-01,74.62,75.05,71.81,72.31,236.5,75.38,37214,"48729806.54",5068
"AVADHSUGAR.NS","INE349W01017",2025-08-01,451.05,469.8,451.05,462.1,236.5,462.2,40498,"48729806.54",5068
"AVALON.NS","INE0LCL01028",2025-08-01,849.9,883,843,855.95,236.5,845.85,330449,"48729806.54",5068
"AVANTEL.NS","INE005B01027",2025-08-01,128.05,129.41,127.04,127.78,236.5,127.44,567973,"48729806.54",5068
"AVANTIFEED.NS","INE871C01038",2025-08-01,678.1,682.8,657.25,662.3,236.5,681.1,334506,"48729806.54",5068
"AVG.NS","INE680Z01018",2025-08-01,250.45,251,245.41,248.35,236.5,248.3,7659,"48729806.54",5068
"AVL.NS","INE679V01027",2025-08-01,395.6,399,383.5,391.65,236.5,394.7,216635,"48729806.54",5068
"AVONMORE.NS","INE323B01024",2025-08-01,18.73,19.5,18.12,18.25,236.5,18.73,322762,"48729806.54",5068
"AVROIND.NS","INE652Z01017",2025-08-01,157.03,160.4,150,153.4,236.5,159.6,61377,"48729806.54",5068
"AVTNPL.NS","INE488D01021",2025-08-01,74.71,78,74.71,75.87,236.5,75.15,136616,"48729806.54",5068
