"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR"
391,"SEAMECLTD","SEAMEC LIMITED","MICRO_CAP",988.1,8.21,10.06,21.81,62.7,78.3,"BULLISH",20.5,18,14,0,NA,NA,NA,NA,NA,281271264.4,"HOLD","2025-08-29",0.7,0.627,1,0.7608,"High",0.592923081154004,0.070362369378563,4,0.172847847964532,"Moderate",0.172607519989833,1.0818343970459,1.02012874325737
675,"LOTUSEYE","LOTUS EYE HOSP & INST L","MICRO_CAP",116.84,6.98,19.43,60.63,62.7,92.6,"STRONG_BULLISH",65.95,20,12,0,NA,NA,NA,NA,NA,97025146.72,"HOLD","2025-08-29",0.3,0.627,1,0.6408,"Medium",0.623282175511122,-0.00806543681537732,4,-0.0214097562978877,"Poor",0.144628982571885,0.143958161538467,1.8477373322472
761,"AUTOIETF","ICICIPRAMC - ICICIAUTO","MICRO_CAP",25.61,-1.04,-1.39,5.05,62.7,59.3,"STRONG_BULLISH",10.82,14,12,0,10,10,10,10,10,73919195.67,"HOLD","2025-08-29",1,0.627,0.8,0.7908,"High",0.639561994746327,-0.0239930481882766,5,-0.0665663660284396,"Poor",0.189621101948433,0.563479846413247,1.91111629381776
1759,"CCHHL","COUNTRY CLUB HOSP HOL LTD","MICRO_CAP",18.34,0.38,3.97,1.16,62.7,52.9,"STRONG_BULLISH",11.46,7,8,25,70.4,72.83,86,55.71,57.5,1307179.26,"HOLD","2025-08-29",1,0.627,0.8,0.7908,"High",0.629087850637734,-0.0354867924936116,4,-0.095674386925924,"Poor",0.16080838048365,0.653260878077708,1.2975619494915
187,"DELHIVERY","DELHIVERY LIMITED","SMALL_CAP",468.05,-0.23,-1.17,14.4,62,61.2,"STRONG_BULLISH",31.69,15,10,15,53.74,51.96,47,57.27,65,774523391.95,"HOLD","2025-08-29",1,0.62,1,0.848,"Very High",0.613229003502056,-0.00470532594481483,5,-0.0121656638874674,"Poor",0.0781867632176727,0.424644949333742,1.82952954806387
962,"PRAENG","PRAJAY ENG. SYN. LTD.","MICRO_CAP",27.18,15.56,20.48,39.24,62,74.9,"BULLISH",20.33,18,12,0,NA,NA,NA,NA,NA,35421973.32,"HOLD","2025-08-29",0.7,0.62,1,0.758,"High",0.480418648896739,-0.019190073327627,7,-0.0369337222879141,"Poor",0.105292378051672,0.234580728039145,0.995768590527587
1004,"CENTUM","CENTUM ELECTRONICS LTD","MICRO_CAP",2753.5,2.43,0.44,24.04,62,64.9,"STRONG_BULLISH",17.78,13,6,20,64.92,71.74,60,61.14,60,30609257.4,"HOLD","2025-08-29",1,0.62,0.8,0.788,"High",0.59456073124893,0.0550137229845859,6,0.135689182634066,"Moderate",0.123709523980506,1.38442470273003,1.45503263175488
57,"ADANIPOWER","ADANI POWER LTD","MID_CAP",600.65,0.96,1.07,1.86,61.3,55.2,"STRONG_BULLISH",12.63,8,15,0,10,10,10,10,10,2148144525.8,"HOLD","2025-08-29",1,0.613,0.8,0.7852,"High",0.578840168192983,-0.0026632864261046,4,-0.00632369524576352,"Poor",0.222975648625288,0.649139874987304,1.07067066221498
221,"GOODLUCK","GOODLUCK INDIA LIMITED","SMALL_CAP",1191.2,2.7,5.93,7.44,61.3,65.6,"BULLISH",13.15,14,12,0,NA,NA,NA,NA,NA,592963350.9,"HOLD","2025-08-29",1,0.613,0.8,0.7852,"High",0.58765639453195,0.000433396454900508,5,0.00105105656824376,"Fair",0.218340641725808,0.88911457802169,1.49923452665098
232,"ESCORTS","ESCORTS KUBOTA LIMITED","SMALL_CAP",3567.8,2.66,-0.05,4.03,61.3,58.8,"STRONG_BULLISH",12.68,8,20,0,NA,NA,NA,NA,NA,545276462.7,"HOLD","2025-08-29",1,0.613,0.8,0.7852,"High",0.486984773026779,-0.0155927760759369,5,-0.0303943728296992,"Poor",0.13154164548032,0.74108761139214,0.742248208867386
257,"CUPID","CUPID LIMITED","SMALL_CAP",172.29,0.17,0.2,14.58,61.3,71.5,"STRONG_BULLISH",92.72,15,11,15,52.86,51.84,53,58.35,48,490457196.06,"HOLD","2025-08-29",0.7,0.613,1,0.7552,"High",0.474669406935573,0.014645684696734,6,0.0278789868515002,"Fair",0.212700789852533,0.966154516674578,1.14230482662097
523,"RELIABLE","RELIABLE DATA SERVICE LTD","MICRO_CAP",163.91,10,73.45,108.01,61.3,90.4,"STRONG_BULLISH",117.37,20,10,0,NA,NA,NA,NA,NA,167873600.43,"HOLD","2025-08-29",0.3,0.613,1,0.6352,"Medium",0.563435331359506,0.0137207265594043,4,0.031428852458748,"Fair",0.232289629627485,1.4355275107082,1.03498362470418
1054,"KAUSHALYA","KAUSHALYA INFRA DEV LTD.","MICRO_CAP",1169.45,9.3,18.38,33.23,61.3,75,"BULLISH",30.76,20,10,0,NA,NA,NA,NA,NA,25462070.7,"HOLD","2025-08-29",0.7,0.613,1,0.7552,"High",0.60986411604099,-0.0202912414213642,6,-0.05201070256715,"Poor",0.119656314409804,0.364294667961076,1.49374783597887
1359,"ALLDIGI","ALLDIGI TECH LIMITED","MICRO_CAP",970.75,2.32,0.88,-7.29,61.3,45.7,"BULLISH",10.45,6,20,15,51.71,50.22,47,56.59,57,8826473.15,"HOLD","2025-08-29",1,0.613,0.8,0.7852,"High",0.618447980191559,0.0893379978137091,4,0.234143689918249,"Moderate",0.127648065029643,1.7392512250226,1.70597880017012
455,"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","MICRO_CAP",6912.5,-0.78,1.31,0.71,60.7,57.8,"STRONG_BULLISH",35.36,11,12,15,54.65,50.22,53,57.05,66,212421999,"HOLD","2025-08-29",1,0.607,1,0.8428,"Very High",0.591225492954254,-0.0196332481573336,6,-0.048029531731871,"Poor",0.054796653939411,0.295920526841655,1.31713377987035
