INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Bank,28.400000000000002,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,29.3,76.5,NA,10,6,NA,STRONG_BULLISH,SELL
Nifty Bank,28.400000000000002,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,NA,1,12,NA,STRONG_BEARISH,SELL
Nifty Bank,28.400000000000002,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,NA,2,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,NA,2,10,NA,STRONG_BULLISH,SELL
Nifty PSU Bank,22.52,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,NA,2,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,BANKBARODA,Bank of Baroda,SMALL_CAP,270.35,0.02,0.78,4.75,21.3,37.6,NA,1,10,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,PNB,Punjab National Bank,MICRO_CAP,109.11,-0.97,-1.86,4.33,19.3,35.2,NA,1,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,UNIONBANK,Union Bank of India,MICRO_CAP,167.28,-0.87,-0.02,-2.68,16,25,NA,1,10,NA,BULLISH,SELL
Nifty IT,19.46,COFORGE,COFORGE,LARGE_CAP,1285.3,0.38,6.75,4.44,28,46.7,NA,5,8,NA,STRONG_BEARISH,SELL
Nifty IT,19.46,TECHM,Tech Mahindra Limited,LARGE_CAP,1448.2,-1.26,-0.79,-1.71,20.7,43.8,NA,3,8,NA,BULLISH,SELL
Nifty IT,19.46,TCS,Tata Consultancy Services Limited,LARGE_CAP,2401.4,-1.4,-2.96,-5.45,19.3,29.3,NA,1,12,NA,STRONG_BEARISH,SELL
Nifty IT,19.46,WIPRO,Wipro Limited,MICRO_CAP,197.36,-0.88,-1.65,-3.6,15.3,28.2,NA,0,12,NA,STRONG_BEARISH,SELL
Nifty IT,19.46,MPHASIS,MPHASIS,LARGE_CAP,2193.1,-1.14,-2.56,-5.8,14,27.5,NA,0,10,NA,STRONG_BEARISH,SELL
