MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
G,BE,VIJIFIN,VIJI FINANCE LIMITED,         3.40,         3.33,         3.33,         3.33,         3.33,                   128421.45,38565,N, ,94,         4.60,         1.99
G,BE,VINEETLAB,VINEET LABORATORIES LTD,        33.19,        33.19,        33.82,        33.19,        33.82,                  4815090.69,142377,N, ,22,        64.89,        26.51
N,BE,VINYLINDIA,VINYL CHEMICALS (I) LTD.,       271.50,       270.00,       274.50,       269.05,       271.30,                   806853.50,2968,N, ,77,       444.20,       215.10
N,BE,VIRINCHI,VIRINCHI LIMITED,        28.37,        28.49,        28.95,        27.70,        27.97,                  2893959.18,102649,N, ,183,        37.74,        19.46
N,BE,VISAKAIND,VISAKA INDUSTRIES LTD,        82.68,        83.67,        83.67,        81.01,        81.65,                  4896853.72,59636,N, ,338,       119.56,        55.05
N,BE,VISASTEEL,VISA STEEL LIMITED,        31.99,        32.99,        32.99,        30.81,        32.46,                   163881.31,5073,N, ,39,        45.48,        21.18
N,BE,WALCHANNAG,WALCHANDNAGAR INDUSTRIES,       175.16,       175.20,       181.40,       173.25,       174.27,                 11465766.14,64647,N, ,631,       380.00,       142.79
N,BE,WELINV,WELSPUN INV & COMM LTD,       894.40,       865.00,       939.10,       865.00,       939.10,                  5020545.00,5350,N, ,35,      1325.90,       597.55
N,BE,YAARI,YAARI DIGI INT SER LTD,        15.75,        16.00,        16.53,        15.50,        16.31,                   878673.53,54409,N, ,63,        20.30,        10.55
N,BE,ZEELEARN,ZEE LEARN LIMITED,         9.28,         9.15,         9.59,         9.15,         9.54,                  3401972.92,363518,N, ,541,        11.48,         4.57
N,BE,ZENITHSTL,ZENITH STEEL PIP IND LTD,         7.68,         7.83,         7.83,         7.31,         7.64,                   893351.94,119835,N, ,264,        12.50,         5.65
N,BE,ZODIAC,ZODIAC ENERGY LIMITED,       388.70,       380.00,       394.00,       380.00,       386.65,                  1763953.85,4545,N, ,343,       724.95,       318.80
N,BZ,ANKITMETAL,ANKIT MET & POW LTD,         1.80,         1.89,         1.89,         1.81,         1.85,                    11536.23,6153,N, ,20,         4.99,         1.75
N,BZ,ANSALAPI,ANSAL PROP & INFRA LTD,         5.23,         5.28,         5.28,         5.12,         5.12,                    72802.67,14210,N, ,42,        15.58,         3.52
N,BZ,CEREBRAINT,CEREBRA INT TECH LTD,         7.42,         7.40,         7.79,         7.04,         7.06,                   544411.26,75430,N, ,170,        15.87,         3.99
N,BZ,FEL,FUTURE ENTERPRISES LTD,          .59,          .60,          .60,          .60,          .60,                     9688.80,16148,N, ,27,          .93,          .50
N,BZ,FELDVR,FUTURE ENTERPRISES LTD,         3.47,         3.48,         3.61,         3.29,         3.61,                     4508.48,1363,N, ,10,         6.18,         3.08
N,BZ,GAYAPROJ,GAYATRI PROJECTS LTD,         8.22,         8.21,         8.63,         8.21,         8.21,                  1673030.25,197998,N, ,59,        11.40,         5.39
N,BZ,GOENKA,GOENKA DIAMOND&JEWELS LTD,          .90,          .88,          .94,          .88,          .93,                   118504.58,127940,N, ,92,         1.48,          .76
N,BZ,GOLDENTOBC,GOLDEN TOBACCO LIMITED,        35.01,        36.10,        36.10,        34.50,        34.56,                    27038.66,780,N, ,18,        45.00,        32.12
N,BZ,HDIL,HOUSING DEV & INFRA LTD,         3.01,         3.01,         3.10,         3.00,         3.03,                   307526.13,101485,N, ,161,         4.89,         2.52
N,BZ,HMT,HMT LTD -,        56.38,        55.50,        56.99,        55.01,        56.18,                   289826.57,5190,N, ,98,        95.32,        45.00
N,BZ,IL&FSENGG,IL&FS ENG AND CONS CO LTD,        32.19,        33.58,        33.58,        32.00,        32.15,                   109068.67,3398,N, ,26,        48.95,        30.12
N,BZ,IL&FSTRANS,IL&FS TRANS NET LTD,         3.22,         3.16,         3.27,         3.11,         3.19,                    68281.01,21480,N, ,49,         7.87,         2.79
N,BZ,IMPEXFERRO,IMPEX FERRO TECH LIMITED,         1.96,         1.98,         2.05,         1.98,         1.99,                    24668.18,12279,N, ,12,         4.64,         1.77
N,BZ,MEP,MEP INFRA. DEVELOPERS LTD,         1.59,         1.55,         1.55,         1.55,         1.55,                   107246.05,69191,N, ,35,         8.40,         1.14
N,BZ,MORARJEE,MORARJEE TEXTILES LIMITED,         8.82,         8.75,         9.26,         8.47,         9.20,                      878.49,98,N, ,10,        15.37,         4.56
N,BZ,OMKARCHEM,OMKAR SPL CHEM LTD,         6.26,         6.55,         6.55,         5.94,         5.94,                    76123.10,12749,N, ,72,        11.39,         5.01
N,BZ,ORTEL,ORTEL COMMUNICATIONS LTD,         1.66,         1.66,         1.69,         1.66,         1.66,                     1034.94,616,N, ,9,         2.45,         1.43
N,BZ,ROLTA,ROLTA INDIA LTD,         2.05,         2.02,         2.06,         1.94,         1.95,                   330729.56,165650,N, ,143,         4.42,         1.92
N,BZ,SANWARIA,SANWARIA CONSUMER LIMITED,          .34,          .34,          .35,          .34,          .35,                   193569.28,555265,N, ,123,          .60,          .32
N,BZ,SITINET,SITI NETWORKS LIMITED,          .49,          .50,          .50,          .49,          .50,                    82096.79,165828,N, ,80,         1.14,          .46
G,BZ,SRPL,SHREE RAM PROTEINS LTD.,          .63,          .64,          .64,          .64,          .64,                   488020.48,762532,N, ,220,         1.95,          .46
N,BZ,SUPREMEINF,SUPREME INFRA. LTD,       114.18,       119.79,       119.79,       109.00,       109.62,                   787969.35,7085,N, ,51,       161.55,        62.00
N,BZ,UNITECH,UNITECH LIMITED,         6.91,         6.95,         7.25,         6.86,         7.11,                 19957312.45,2802662,N, ,1924,        13.20,         5.50
N,BZ,WINSOME,WINSOME YARNS LIMITED,         2.03,         2.07,         2.07,         2.03,         2.06,                      856.42,414,N, ,6,         3.99,         1.58
N,ST,ABHAPOWER,ABHA POWER N STEEL LTD,        47.00,        47.90,        47.90,        45.20,        47.00,                   520960.00,11200,N, ,7,        81.90,        26.45
N,ST,ACCENTMIC,ACCENT MICROCELL LIMITED,       286.05,       286.10,       286.10,       284.00,       284.15,                  2427600.00,8500,N, ,16,       324.00,       180.00
N,ST,AESTHETIK,AESTHETIK ENGINEERS LTD,       119.00,       116.15,       118.00,       116.15,       118.00,                   701400.00,6000,N, ,3,       144.70,        60.00
N,ST,AKANKSHA,AKANKSHA POWER N INFRA L,        86.40,        87.00,        87.00,        85.00,        87.00,                  1035550.00,12000,N, ,11,       183.25,        82.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       166.75,       175.05,       175.05,       170.00,       173.50,                 12580000.00,72000,N, ,42,       175.05,        62.00
