INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Private Bank,30.52,AXISBANK,Axis Bank Limited,LARGE_CAP,1359.1,0.7,3.08,11.89,31.3,75.3,NA,10,8,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30.52,BANDHANBNK,BANDHANBNK,MICRO_CAP,174.47,0.17,5.14,7.34,27.3,70.1,NA,11,4,NA,BULLISH,SELL
Nifty Private Bank,30.52,ICICIBANK,ICICI Bank Limited,LARGE_CAP,1346.8,0.1,5.11,5.81,24,67.7,NA,4,8,NA,STRONG_BEARISH,SELL
Nifty Realty,30.12,KOLTEPATIL,KOLTEPATIL,SMALL_CAP,365.15,5.5,13.12,10.55,41.3,69.1,NA,13,12,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Realty,30.12,BRIGADE,BRIGADE,MID_CAP,762.25,3.22,8.73,17.13,29.3,73.8,NA,8,10,NA,STRONG_BEARISH,SELL
Nifty Realty,30.12,SUNTECK,SUNTECK,SMALL_CAP,333.65,-1.21,6.16,8.95,28.7,64.6,NA,8,4,NA,STRONG_BEARISH,SELL
Nifty Realty,30.12,OBEROIRLTY,OBEROIRLTY,MID_CAP,1710.6,0.01,3.45,20.63,28,81.2,NA,11,10,NA,BULLISH,SELL
Nifty Realty,30.12,GODREJPROP,GODREJPROP,LARGE_CAP,1758.8,0.65,3.73,12.74,23.3,74.9,NA,11,8,NA,STRONG_BEARISH,SELL
Nifty Oil & Gas,28.54,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,284.05,0.46,-1.58,9.06,43.3,67.9,NA,11,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Oil & Gas,28.54,MRPL,MRPL,MICRO_CAP,183.13,4.69,3.91,-11.43,40,51.4,NA,1,18,NA,BULLISH,WEAK_HOLD
Nifty Oil & Gas,28.54,GAIL,GAIL,MICRO_CAP,157.82,-0.69,3.68,8.05,20.7,84.4,NA,6,8,NA,STRONG_BEARISH,SELL
Nifty Oil & Gas,28.54,OIL,OIL,SMALL_CAP,470.1,1.67,-0.14,2.17,20,46.3,NA,1,6,NA,BULLISH,SELL
Nifty Oil & Gas,28.54,RELIANCE,Reliance Industries Limited,LARGE_CAP,1365,1.62,2.63,-2.16,18.7,42.9,NA,0,12,NA,STRONG_BEARISH,SELL
Nifty IT,28.4,WIPRO,Wipro Limited,SMALL_CAP,204.32,-2.83,0.71,4.72,34,68.2,NA,8,12,NA,STRONG_BEARISH,SELL
Nifty IT,28.4,TECHM,Tech Mahindra Limited,LARGE_CAP,1511.4,1.37,3.41,12.83,33.3,64.4,NA,8,15,NA,STRONG_BEARISH,SELL
Nifty IT,28.4,HCLTECH,HCL Technologies Limited,LARGE_CAP,1442.3,-0.54,-1.54,8.56,28,64.5,NA,6,12,NA,STRONG_BEARISH,SELL
Nifty IT,28.4,INFY,Infosys Limited,LARGE_CAP,1318.7,-0.04,-0.97,5.51,24,58.5,NA,3,12,NA,STRONG_BEARISH,SELL
Nifty IT,28.4,COFORGE,COFORGE,LARGE_CAP,1316.8,0.27,4.1,21.86,22.7,76.1,NA,8,10,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,27.740000000000002,INDIANB,Indian Bank,MID_CAP,939.45,-0.06,-0.25,7.07,38,60.7,NA,12,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty PSU Bank,27.740000000000002,UNIONBANK,Union Bank of India,MICRO_CAP,188.91,0.22,2.28,7.58,32.7,62,NA,11,6,NA,STRONG_BULLISH,SELL
Nifty PSU Bank,27.740000000000002,SBIN,State Bank of India,LARGE_CAP,1080.25,1.23,3.78,1.27,30,59.1,NA,3,8,NA,STRONG_BULLISH,SELL
Nifty PSU Bank,27.740000000000002,CANBK,Canara Bank,MICRO_CAP,142.37,0.95,3.23,5.84,20,60.3,NA,2,6,NA,BULLISH,SELL
Nifty PSU Bank,27.740000000000002,BANKBARODA,Bank of Baroda,SMALL_CAP,280.44,0.38,2.26,0.18,18,56.8,NA,1,4,NA,BULLISH,SELL
