"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"LIQUIDIETF",999.99,999.9865,999.9886,999.989400000002,999.990049999998,TRUE,TRUE,TRUE,FALSE
"LOWVOLIETF",22.63,23.041,22.9748,22.6861,22.01825,FALSE,FALSE,FALSE,TRUE
"MIDCAPIETF",22.03,22.7049999999999,22.8266,22.4767,21.86215,FALSE,FALSE,FALSE,TRUE
"MIDSELIETF",17.83,18.3049999999999,18.4156,17.9823999999999,17.4633999999999,FALSE,FALSE,FALSE,TRUE
"MOM30IETF",31.09,31.6475,32.0476,31.6258,31.02675,FALSE,FALSE,FALSE,TRUE
"NEXT50IETF",71.04,72.2625,72.6066,72.0128,70.4402,FALSE,FALSE,FALSE,TRUE
"NIF100IETF",28.79,29.3615,29.4229999999999,28.9672,28.3423,FALSE,FALSE,FALSE,TRUE
"NIFTYIETF",285.06,290.7475,291.3658,286.244,279.7166,FALSE,FALSE,FALSE,TRUE
"NV20IETF",15.04,15.1065,14.9664000000001,14.7104,14.5144,FALSE,TRUE,TRUE,TRUE
"PSUBNKIETF",90.76,87.4035,85.6278,79.5317,73.69975,TRUE,TRUE,TRUE,TRUE
"PVTBANIETF",28.53,28.868,28.6986,27.9550999999999,27.5907,FALSE,FALSE,TRUE,TRUE
"QUAL30IETF",21.65,21.909,21.8624000000002,21.5829,21.0798000000001,FALSE,FALSE,TRUE,TRUE
"SENSEXIETF",941.13,961.8585,965.5818,948.6993,930.339299999999,FALSE,FALSE,FALSE,TRUE
"SILVERIETF",288.14,245.4025,192.4606,163.1647,133.2019,TRUE,TRUE,TRUE,TRUE
"INOXINDIA",1113.3,1128.8,1160.912,1166.041,1146.83925,FALSE,FALSE,FALSE,FALSE
"MUTHOOTMF",182.52,181.3265,177.9022,170.4961,156.4575,TRUE,TRUE,TRUE,TRUE
"SURAJEST",223.55,247.73,268.252999999999,278.961,299.942000000001,FALSE,FALSE,FALSE,FALSE
"HAPPYFORGE",1045.5,1101.37,1056.503,997.518499999999,940.51225,FALSE,FALSE,TRUE,TRUE
