"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
684,"BHARATWIRE","BHARAT WIRE ROPES LTD.","MICRO_CAP",222.91,-2.22,1.32,41.49,60,68.9,"STRONG_BULLISH",29.31,15,6,15,52.64,53.1,51,57.27,48,106936960.33,"HOLD",2026-04-28
762,"SPORTKING","SPORTKING INDIA LIMITED","MICRO_CAP",141.77,3.6,1.11,26.24,60,61.9,"STRONG_BULLISH",34.75,15,16,0,NA,NA,NA,NA,NA,76180670.98,"HOLD",2026-04-28
797,"DALMIASUG","DALMIA BHARAT SUG IN LTD","MICRO_CAP",372.95,-0.97,-2.61,-5.43,60,54,"STRONG_BULLISH",24.62,15,4,20,69.58,73.7,84,58.64,49.17,60530025.55,"HOLD",2026-04-28
95,"TANLA","TANLA PLATFORMS LIMITED","MID_CAP",559.55,-4.01,14.08,48.24,59.3,68.4,"BULLISH",16.15,18,6,0,NA,NA,NA,NA,NA,3318207573.75,"HOLD",2026-04-28
175,"CGPOWER","CG POWER AND IND SOL LTD","SMALL_CAP",831.2,1.33,3.22,26.89,59.3,71.4,"STRONG_BULLISH",26.12,15,8,15,55.37,53.04,51,57.5,66,1632267316.7,"HOLD",2026-04-28
295,"WALCHANNAG","WALCHANDNAGAR INDUSTRIES","SMALL_CAP",237.96,8.4,25.22,80.75,59.3,83.5,"STRONG_BULLISH",36.07,18,14,0,NA,NA,NA,NA,NA,744612197.88,"HOLD",2026-04-28
305,"MOIL","MOIL LIMITED","MICRO_CAP",332,2.42,3.03,17.21,59.3,65.3,"BULLISH",8.76,11,16,0,NA,NA,NA,NA,NA,698393109.35,"HOLD",2026-04-28
313,"SKIPPER","SKIPPER LIMITED","MICRO_CAP",489.95,2.55,5.32,46.54,59.3,76.9,"BULLISH",26.39,18,14,0,NA,NA,NA,NA,NA,671520268.8,"HOLD",2026-04-28
426,"BALUFORGE","BALU FORGE INDUSTRIES LTD","MICRO_CAP",498.25,3.1,4.95,29.01,59.3,60.1,"BEARISH",4.08,7,11,20,62.43,70.95,60,60.25,46.67,355466704.75,"HOLD",2026-04-28
492,"CGCL","CAPRI GLOBAL CAPITAL LTD","MICRO_CAP",185.04,-0.05,0.92,11.14,59.3,58.7,"BULLISH",9.92,7,10,15,53.51,50.65,51,55.23,63,255697724.21,"HOLD",2026-04-28
576,"CYIENTDLM","CYIENT DLM LIMITED","MICRO_CAP",392.55,-1.89,9.71,44.16,59.3,71.2,"BULLISH",11.47,11,6,25,71.54,72.61,86,57.73,63,179136701.45,"HOLD",2026-04-28
579,"TALBROAUTO","TALBROS AUTO. COMP. LTD","MICRO_CAP",311.96,5.62,11.43,34.58,59.3,78,"BULLISH",13.08,16,11,0,NA,NA,NA,NA,NA,176118441.04,"HOLD",2026-04-28
609,"ANTELOPUS","ANTELOPUS","MICRO_CAP",682.6,4.99,16.38,19.82,59.3,62.7,"STRONG_BULLISH",21.45,13,12,0,NA,NA,NA,NA,NA,152766960.85,"HOLD",2026-04-28
729,"JAGSNPHARM","JAGSONPAL PHARMACEUTICALS","MICRO_CAP",205.55,0.92,4.61,11.69,59.3,68.3,"BULLISH",15.51,18,11,0,NA,NA,NA,NA,NA,85738987.12,"HOLD",2026-04-28
884,"BAJEL","BAJEL PROJECTS LIMITED","MICRO_CAP",181.37,-0.96,1.94,32.13,59.3,62.3,"BULLISH",11.45,11,8,20,61.91,62.17,64,57.95,63,30791259.36,"HOLD",2026-04-28
27,"HINDALCO","HINDALCO  INDUSTRIES  LTD","LARGE_CAP",1074.3,1.18,5.15,21.47,58.7,72,"STRONG_BULLISH",15.04,14,13,0,NA,NA,NA,NA,NA,8356198980.35,"HOLD",2026-04-28
36,"NETWEB","NETWEB TECH INDIA LTD","LARGE_CAP",4002.2,2.1,2.5,29.15,58.7,69,"STRONG_BULLISH",30.08,16,13,0,NA,NA,NA,NA,NA,6805141738.8,"HOLD",2026-04-28
53,"PFC","POWER FIN CORP LTD.","MID_CAP",481.4,1.37,2.19,26.85,58.7,74.2,"STRONG_BULLISH",20.65,14,13,0,NA,NA,NA,NA,NA,5154726789.5,"HOLD",2026-04-28
149,"SONACOMS","SONA BLW PRECISION FRGS L","MID_CAP",598.8,1.72,3.01,24.36,58.7,64.7,"STRONG_BULLISH",16.91,14,10,0,NA,NA,NA,NA,NA,2011877571.65,"HOLD",2026-04-28
155,"KIRLPNU","KIRLOSKAR PNEUMATIC COM L","SMALL_CAP",1525.2,5.31,11.97,46.65,58.7,83.7,"STRONG_BULLISH",32.86,20,6,0,NA,NA,NA,NA,NA,1925370794,"HOLD",2026-04-28
