"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"JINDRILL",546.95,-2.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"ACI",607.8,-5.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"PLATIND",243.1,-5.66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"TATAPOWER",461.8,-21.93,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,56.7,"LARGE_CAP"
"DATAPATTNS",4059.9,-40.49,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"LARGE_CAP"
"TMB",738.55,-21.31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MID_CAP"
"LAURUSLABS",1090.45,-6.68,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,56.7,"MID_CAP"
"HINDOILEXP",161.97,-4.32,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"INDIASHLTR",812.8,-5.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"APOLLOPIPE",433.2,-41.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"NITINSPIN",456.6,-28.19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,56.7,"MICRO_CAP"
"MANOMAY",242.6,-13.87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"WAAREEENER",3453.6,-18.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,"LARGE_CAP"
"ACUTAAS",2467.8,-23.71,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,56,"SMALL_CAP"
