symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
SHAILY,9,17223.3,2489.4,40.7,68.0,BULLISH,WEAK_HOLD,REDUCE,2.76,35.25,19.43,16.71,,comprehensive_csv
SHRIRAMFIN,30,30600.0,953.25,24.7,42.9,BULLISH,SELL,SELL,-2.2,-8.81,9.31,-4.93,,comprehensive_csv
SHRIPISTON,5,13746.5,2573.3,62.7,57.5,STRONG_BULLISH,HOLD,HOLD,-0.41,0.89,5.71,12.31,,db
ENRIN,5,12436.0,3233.7,60.0,72.3,STRONG_BULLISH,HOLD,HOLD,1.29,0.79,26.05,24.67,,comprehensive_csv
SIEMENS,5,15506.5,3827.3,49.3,70.8,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.74,2.84,30.4,27.16,,comprehensive_csv
SKYGOLD,110,33412.5,436.45,65.3,70.1,STRONG_BULLISH,BUY,ADD,3.33,4.63,37.14,36.9,,comprehensive_csv
NOT LISTED,10000,500.0,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
SOLARINDS,3,40440.0,15304.0,50.0,62.9,STRONG_BULLISH,HOLD,HOLD,0.29,2.37,26.73,18.17,,comprehensive_csv
SOMANYCERA,21,8573.25,474.9,13.3,39.4,STRONG_BEARISH,SELL,SELL,-1.11,3.15,-10.88,-12.33,,db
SBIN,60,64629.0,1091.3,30.0,52.6,BULLISH,SELL,SELL,-1.85,-1.85,11.43,-0.46,,comprehensive_csv
SAIL,280,42316.4,185.63,54.7,76.2,STRONG_BULLISH,HOLD,HOLD,0.78,6.04,22.59,19.47,,comprehensive_csv
SUMICHEM,20,8193.0,431.9,41.3,56.3,BULLISH,WEAK_HOLD,REDUCE,-2.9,-1.83,18.51,6.36,,comprehensive_csv
SUNPHARMA,12,19143.6,1747.3,50.7,55.8,BEARISH,HOLD,HOLD,0.8,4.93,-0.56,6.47,,comprehensive_csv
SUNFLAG,27,6613.65,294.48,46.0,69.9,BULLISH,WEAK_HOLD,REDUCE,-0.53,5.32,51.72,18.22,,comprehensive_csv
