Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 OCT 2025,ALPSINDUS,BE,ALPS INDUSTRIES LTD.     ,Listed    ,29 OCT 2025,              10.00,          39114100,              1.95,       77054777.00 
29 OCT 2025,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,29 OCT 2025,              10.00,          24847420,             88.20,     2191542444.00   
29 OCT 2025,AMANTA,EQ,AMANTA HEALTHCARE LIMITED,Listed    ,29 OCT 2025,              10.00,          38829351,            122.50,     4756595497.50    
29 OCT 2025,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,21 OCT 2025,              10.00,           7658659,            139.75,     1070297595.25
29 OCT 2025,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,29 OCT 2025,              10.00,          35148942,           8312.50,   292175580375.00     
29 OCT 2025,AMBEY,SM,AMBEY LABORATORIES LTD   ,Listed    ,29 OCT 2025,              10.00,          24946819,             41.50,     1035292988.50     
29 OCT 2025,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,29 OCT 2025,              10.00,          17177400,             25.30,      434759994.00
29 OCT 2025,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,29 OCT 2025,              10.00,           5725000,           1369.80,     7842105000.00   
29 OCT 2025,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,29 OCT 2025,               2.00,        2471823478,            571.75,  1413265073546.50 
29 OCT 2025,AMCL,ST,ANB METAL CAST LIMITED   ,Listed    ,29 OCT 2025,              10.00,          11834780,            300.00,     3550434000.00      
29 OCT 2025,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,29 OCT 2025,              10.00,          19166749,             57.80,     1107646424.70    
29 OCT 2025,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,29 OCT 2025,              10.00,           7500000,            101.50,      761250000.00     
29 OCT 2025,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,28 OCT 2025,              10.00,           1748200,             67.60,      118178320.00   
29 OCT 2025,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,29 OCT 2025,               2.00,          41000000,             55.95,     2293950000.00   
29 OCT 2025,AMJUMBO,SM,A AND M JUMBO BAGS LTD   ,Listed    ,28 OCT 2025,              10.00,          10500000,              7.80,       81900000.00   
29 OCT 2025,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,29 OCT 2025,               2.00,          55020000,            218.90,    12043327800.00   
29 OCT 2025,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,29 OCT 2025,               1.00,          28910630,            741.50,    21437232145.00
29 OCT 2025,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,29 OCT 2025,               5.00,          83020634,           3086.40,   256234884777.60
29 OCT 2025,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,29 OCT 2025,             100.00,         217500000,            105.25,    22894050000.00   
29 OCT 2025,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,29 OCT 2025,               2.00,         343260616,            635.60,   218176447529.60  
29 OCT 2025,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,29 OCT 2025,               2.00,         198850195,             78.90,    15693257389.40 
29 OCT 2025,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,29 OCT 2025,               2.00,         135535390,             82.65,    11199289275.70
29 OCT 2025,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,29 OCT 2025,              10.00,          90668586,           2511.70,   227732287456.20  
29 OCT 2025,ANIKINDS,EQ,ANIK INDUSTRIES LTD      ,Listed    ,29 OCT 2025,              10.00,          27753486,             77.25,     2143401723.80  
29 OCT 2025,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,29 OCT 2025,              10.00,         141110500,              1.80,      255410005.00
29 OCT 2025,ANLON,SM,ANLON TECHNOLOGY SOL LTD ,Listed    ,29 OCT 2025,              10.00,           6255400,            383.00,     2395818200.00     
29 OCT 2025,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,29 OCT 2025,              10.00,          56914150,             15.00,      853712250.00     
29 OCT 2025,ANNAPURNA,SM,ANNAPURNA SWADISHT LTD   ,Listed    ,29 OCT 2025,              10.00,          21820000,            246.45,     5377539000.00 
