MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        80.11,        77.71,        80.95,        77.71,        80.86,                 11869737.52,146963,1327,        87.95,        68.30,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        58.82,        58.53,        58.89,        58.40,        58.89,                    85052.71,1447,27,        59.13,        47.00,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1552.12,      1541.38,      1562.20,      1541.38,      1554.54,                  7643759.06,4917,373,      1586.20,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1389.17,      1391.88,      1393.94,      1386.33,      1392.56,                 11693732.29,8415,122,      1410.12,      1276.00,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1269.92,      1268.11,      1271.99,      1266.20,      1270.96,                  7272705.10,5725,90,      1305.17,      1147.84,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        23.98,        24.09,        24.09,        23.57,        23.84,                  1443979.81,60798,579,        26.77,        17.13,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       114.60,       115.00,       121.00,       115.00,       120.95,                 44285084.20,369262,841,       131.55,        75.00,EDELWEISS GOLD ETF
N,EQ,ELM250,EDELAMC - ELM250,        16.75,        16.83,        16.85,        16.65,        16.84,                   741941.97,44099,81,        19.20,        15.89,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        42.72,        42.73,        42.75,        42.50,        42.70,                   796099.01,18672,199,        53.90,        34.71,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.43,        13.49,        13.53,        13.43,        13.53,                   345931.40,25687,61,        13.75,        11.03,BSE 200 EQUAL WEIGHT
N,EQ,EQUAL50,MIRAEAMC - EQUAL50,       332.22,       334.25,       335.08,       333.81,       333.82,                    49833.32,149,5,       335.24,       303.44,NIFTY50 EQUAL WEIGHT
N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       343.23,       344.75,       345.90,       343.38,       345.50,                 11894527.56,34479,225,       351.10,       280.01,NIFTY 50 EQUAL WEIGHT INDEX
N,EQ,ESG,MIRAEAMC - MAESGETF,        43.97,        44.17,        44.35,        44.08,        44.24,                  1042724.13,23572,124,        44.53,        36.00,NIFTY100 ESG SECTOR LEADERS
N,EQ,ESILVER,EDELAMC - ESILVER,       140.38,       141.50,       148.38,       141.50,       147.74,                 75838453.52,517728,1215,       192.00,        86.27,EDELWEISS SILVER ETF
N,EQ,EVIETF,ICICIPRAMC - EVIETF,        31.29,        31.44,        32.13,        31.03,        31.61,                  2385784.04,76034,408,        33.75,        23.56,NIFTY EV & NEW AGE AUTOMOTIVE ETF
N,EQ,EVINDIA,MIRAEAMC - EVINDIA,        31.25,        31.26,        31.36,        31.06,        31.26,                  5189647.86,166168,1374,        33.33,        23.83,NIFTY EV AND NEW AGE AUTOMOTIVE TOTAL RETURN INDEX
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        31.90,        31.95,        32.21,        31.75,        31.99,                 25748073.37,805210,1050,        32.66,        24.13,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF
N,EQ,FLEXIADD,DSPAMC - FLEXIADD,        10.84,        11.04,        11.04,        10.76,        10.82,                  3248468.21,300528,295,        11.90,        10.50,NIFTY500 FLEXICAP QUALITY 30 TRI
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,        59.83,        59.95,        60.35,        59.84,        60.30,                 51047859.06,848432,2465,        64.05,        53.00,NIFTY FMCG INDEX
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        63.39,        63.39,        63.42,        63.12,        63.27,                 19975977.64,315360,386,        71.00,        57.60,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLD1,KOTAK GOLD ETF,        96.83,        97.80,       100.89,        97.80,       100.71,                138164729.55,1387900,7287,       110.00,        62.07,GOLD
N,EQ,GOLD360,360ONEAMC - GOLD360,       114.25,       116.00,       118.80,       113.95,       118.05,                  3042520.85,26069,427,       139.90,        78.20,COMMODITY-GOLD
