MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BHARAT ELECTRONICS LTD,       413.55,       413.55,       414.90,       406.85,       407.20,               5928025123.95,14498733,Y, ,171195,       436.00,       240.25
N,BHARTI AIRTEL LIMITED,      2090.20,      2083.00,      2110.40,      2081.60,      2100.60,               5755608868.00,2742750,Y, ,137123,      2110.40,      1511.00
N,CIPLA LTD,      1568.10,      1575.00,      1588.00,      1571.70,      1581.10,               1419980644.60,898965,Y, ,42853,      1673.00,      1335.00
N,COAL INDIA LTD,       391.40,       393.25,       399.30,       380.05,       382.00,              10455123830.15,26856509,Y, ,195510,       459.55,       349.25
N,DR. REDDY S LABORATORIES,      1289.40,      1299.00,      1301.50,      1235.00,      1250.90,               3262684530.90,2574921,Y, ,74876,      1405.90,      1020.00
N,EICHER MOTORS LTD,      7002.50,      7007.50,      7007.50,      6889.00,      6952.00,               2393817640.50,343504,Y, ,39969,      7122.50,      4533.65
N,ETERNAL LIMITED,       334.60,       333.55,       335.50,       328.75,       330.45,               6509785895.80,19679008,Y, ,118560,       368.45,       194.80
N,GRASIM INDUSTRIES LTD,      2932.90,      2945.90,      2977.80,      2940.00,      2958.70,               2105113159.20,711559,Y, ,48238,      2977.80,      2276.95
N,HCL TECHNOLOGIES LTD,      1522.10,      1530.00,      1559.00,      1522.00,      1557.30,               4023535238.60,2596355,Y, ,71502,      2012.20,      1302.75
N,HDFC BANK LTD,      1003.55,      1004.90,      1012.50,      1000.00,      1007.85,              17909676109.65,17769445,Y, ,281715,      2037.70,       939.10
N,HDFC LIFE INS CO LTD,       747.00,       750.20,       763.40,       749.00,       761.30,               1722394282.60,2270288,Y, ,67019,       820.75,       584.30
N,HINDALCO  INDUSTRIES  LTD,       848.95,       854.00,       858.85,       849.55,       856.25,               4840144450.25,5663683,Y, ,108237,       859.90,       546.45
N,HINDUSTAN UNILEVER LTD.,      2497.10,      2512.60,      2513.60,      2484.00,      2488.10,               4661569499.90,1870143,Y, ,59711,      2750.00,      2136.00
N,ICICI BANK LTD.,      1363.10,      1364.60,      1371.70,      1358.40,      1370.40,              22019031340.90,16129382,Y, ,353776,      1500.00,      1186.00
N,INTERGLOBE AVIATION LTD,      5809.00,      5815.50,      5839.50,      5763.50,      5813.00,               3827432691.00,659529,Y, ,51454,      6232.50,      3780.00
N,INFOSYS LIMITED,      1500.20,      1500.20,      1520.20,      1496.90,      1510.40,               7379112106.40,4884976,Y, ,177757,      2006.45,      1307.00
N,ITC LTD,       417.90,       418.20,       422.20,       416.05,       421.60,               4811576571.15,11470661,Y, ,126826,       471.50,       390.15
N,JIO FIN SERVICES LTD,       307.95,       307.80,       310.75,       307.60,       309.75,               2663451607.95,8605721,Y, ,69986,       347.35,       198.65
N,JSW STEEL LIMITED,      1184.20,      1189.20,      1223.90,      1185.50,      1207.90,               4628986599.70,3819737,Y, ,87838,      1223.90,       880.00
N,KOTAK MAHINDRA BANK LTD,      2160.80,      2170.00,      2174.30,      2146.90,      2150.50,               3055121134.40,1417783,Y, ,74876,      2301.90,      1679.05
N,LARSEN & TOUBRO LTD.,      3972.80,      3988.00,      4016.70,      3920.00,      3958.10,              10153914748.70,2563641,Y, ,131435,      4016.70,      2965.30
N,MAHINDRA & MAHINDRA LTD,      3579.10,      3580.00,      3583.50,      3522.10,      3534.70,               8942852378.10,2526473,Y, ,116799,      3723.80,      2425.00
N,MARUTI SUZUKI INDIA LTD.,     16311.00,     16360.00,     16428.00,     16046.00,     16138.00,               3783283107.00,232815,Y, ,39351,     16660.00,     10725.00
N,MAX HEALTHCARE INS LTD,      1179.70,      1185.00,      1194.40,      1181.70,      1189.50,               1802467254.90,1516489,Y, ,42728,      1314.30,       936.25
N,NESTLE INDIA LIMITED,      1271.00,      1275.00,      1281.00,      1266.50,      1273.00,               1067360107.30,836932,Y, ,28333,      2515.00,      1084.70
N,NTPC LTD,       339.15,       339.25,       350.00,       339.15,       347.50,               5353214660.15,15423201,Y, ,139679,       415.45,       292.80
N,OIL AND NATURAL GAS CORP.,       250.54,       250.95,       257.34,       250.55,       255.64,               2241787568.88,8806213,Y, ,85942,       274.35,       205.00
N,POWER GRID CORP. LTD.,       288.25,       289.00,       296.65,       288.75,       295.35,               4300402875.35,14608714,Y, ,99438,       345.40,       247.30
N,RELIANCE INDUSTRIES LTD,      1486.90,      1490.00,      1508.30,      1488.10,      1504.20,              17858800582.60,11884745,Y, ,219504,      1551.00,      1114.85
N,SBI LIFE INSURANCE CO LTD,      1936.80,      1934.00,      1975.00,      1934.00,      1970.40,               4708249385.50,2398496,Y, ,59264,      1975.00,      1372.55
