SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Cement & Construction,46.42,12,2026-05-15,DALMIASUG,DALMIASUG,NA,SMALL_CAP,342.1,-0.96,-11.2,-9.25,55.3,32.4,16,BULLISH,HOLD,9,4,NA,69.58,NA,NA,NA,NA,NA,209,37.3,Lagging
Cement & Construction,46.42,12,2026-05-15,CREDITACC,Credit Access Grameen Limited,NA,LARGE_CAP,1315.2,-0.87,-12.14,6.18,48.7,57.2,6.7,BULLISH,WEAK_HOLD,7,6,NA,53.16,NA,NA,NA,NA,NA,354,37.3,Lagging
Cement & Construction,46.42,12,2026-05-15,ORIENTELEC,ORIENTELEC,NA,MICRO_CAP,192.73,0.78,2.33,13.38,46.7,58.2,6.86,STRONG_BULLISH,WEAK_HOLD,9,9,NA,NA,NA,NA,NA,NA,NA,380,37.3,Lagging
Cement & Construction,46.42,12,2026-05-15,JSWCEMENT,JSWCEMENT,NA,MICRO_CAP,123.17,0.75,-1.09,-2.42,42.7,48.8,1.22,BULLISH,WEAK_HOLD,1,15,NA,NA,NA,NA,NA,NA,NA,461,37.3,Lagging
Cement & Construction,46.42,12,2026-05-15,ORIENTHOT,ORIENTHOT,NA,MICRO_CAP,101.1,2.42,-6.43,1.65,38.7,60,2.36,BULLISH,WEAK_HOLD,5,14,NA,NA,NA,NA,NA,NA,NA,527,37.3,Lagging
Banking - Private,45.04,8,2026-05-15,RBLBANK,RBL Bank Limited,NA,SMALL_CAP,338.1,0.27,-1.56,7.03,67.3,58.6,8.48,STRONG_BULLISH,BUY,12,12,NA,50.62,NA,NA,NA,NA,NA,72,48.7,Lagging
Banking - Private,45.04,8,2026-05-15,BANDHANBNK,BANDHANBNK,NA,MICRO_CAP,194.46,-2.3,-5.65,11.64,64,65.5,9.6,STRONG_BULLISH,HOLD,14,6,NA,65.58,NA,NA,NA,NA,NA,116,48.7,Lagging
Banking - Private,45.04,8,2026-05-15,FEDERALBNK,Federal Bank Limited,NA,SMALL_CAP,281.3,0.37,-5.37,-1.09,33.3,35.8,-3.44,STRONG_BULLISH,SELL,1,6,NA,55.83,NA,NA,NA,NA,NA,609,48.7,Lagging
Banking - Private,45.04,8,2026-05-15,INDUSINDBK,INDUSINDBK,NA,MID_CAP,886.4,-2.37,-6.77,4.54,31.3,58.1,-4.61,STRONG_BULLISH,SELL,6,8,NA,NA,NA,NA,NA,NA,NA,642,48.7,Lagging
Banking - Private,45.04,8,2026-05-15,KOTAKBANK,Kotak Mahindra Bank Limited,NA,SMALL_CAP,387.05,1,1.64,2.08,29.3,66.1,-4.04,BULLISH,SELL,4,13,NA,NA,NA,NA,NA,NA,NA,668,48.7,Lagging
Agriculture & Fertilizers,41.2,7,2026-05-15,GNFC,GNFC,NA,MID_CAP,514.35,-1.08,3.67,11.08,56,67.5,15.81,BULLISH,HOLD,17,4,NA,NA,NA,NA,NA,NA,NA,202,41.3,Lagging
Agriculture & Fertilizers,41.2,7,2026-05-15,SUNFLAG,SUNFLAG,NA,SMALL_CAP,373.45,-1.23,-10.2,37.83,52.7,71.1,54.53,STRONG_BULLISH,HOLD,20,6,NA,NA,NA,NA,NA,NA,NA,272,41.3,Lagging
Agriculture & Fertilizers,41.2,7,2026-05-15,GSFC,GSFC,NA,MICRO_CAP,170,0.12,-3.38,-0.61,38.7,46.1,3.44,STRONG_BEARISH,WEAK_HOLD,5,7,NA,NA,NA,NA,NA,NA,NA,527,41.3,Lagging
Agriculture & Fertilizers,41.2,7,2026-05-15,RALLIS,RALLIS,NA,SMALL_CAP,263.7,-1.01,-1.59,0.04,29.3,63.6,-1.8,BULLISH,SELL,3,12,NA,NA,NA,NA,NA,NA,NA,668,41.3,Lagging
Agriculture & Fertilizers,41.2,7,2026-05-15,RCF,RCF,NA,MICRO_CAP,124.63,-0.18,-4.56,-3.17,29.3,41.7,1.05,STRONG_BEARISH,SELL,4,4,NA,NA,NA,NA,NA,NA,NA,668,41.3,Lagging
IT & Software,36.8,11,2026-05-15,COFORGE,COFORGE,NA,LARGE_CAP,1282.1,0.59,-6.29,-2.37,53.3,64.9,10.87,BULLISH,HOLD,9,9,NA,54.71,NA,NA,NA,NA,NA,254,24.8,Lagging
IT & Software,36.8,11,2026-05-15,TECHM,Tech Mahindra Limited,NA,LARGE_CAP,1370.5,2.02,-6.32,-8.08,46.7,51.8,3.68,BULLISH,WEAK_HOLD,6,16,NA,NA,NA,NA,NA,NA,NA,380,24.8,Lagging
IT & Software,36.8,11,2026-05-15,PERSISTENT,PERSISTENT,NA,LARGE_CAP,4702.1,1.58,-8.05,-14.52,33.3,47.8,2.09,STRONG_BEARISH,SELL,1,11,NA,NA,NA,NA,NA,NA,NA,609,24.8,Lagging
