INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Metal,50,100,SAIL,STEEL AUTHORITY OF INDIA,MID_CAP,137.91,-0.2,0.63,3.79,44,60.1,STRONG_BULLISH,9.54,7,8,0,NA,NA,NA,NA,NA,2504562264.57,WEAK_HOLD,2025-11-06
Nifty Realty,48.379999999999995,290,SOBHA,SOBHA LIMITED,SMALL_CAP,1654.4,2.17,4.92,12.54,58,65.4,BULLISH,8.28,10,15,0,NA,NA,NA,NA,NA,592109576.5,HOLD,2025-11-06
Nifty Realty,48.379999999999995,86,GODREJPROP,GODREJ PROPERTIES LTD,MID_CAP,2193.7,-4.34,-4.58,5.81,51.3,49.2,BULLISH,5.84,10,10,0,NA,NA,NA,NA,NA,2800335429.3,HOLD,2025-11-06
Nifty Realty,48.379999999999995,646,SUNTECK,SUNTECK REALTY LIMITED,MICRO_CAP,447.6,-2.72,-1.5,1.23,47.3,53.8,STRONG_BULLISH,12.29,9,8,0,NA,NA,NA,NA,NA,126830674.15,WEAK_HOLD,2025-11-06
Nifty Realty,48.379999999999995,488,BRIGADE,BRIGADE ENTER. LTD,MICRO_CAP,993,-2.46,-4.42,7.18,43.3,52.5,BULLISH,2.24,4,10,15,56.82,55.43,51,60,66,265773093.7,WEAK_HOLD,2025-11-06
Nifty Realty,48.379999999999995,220,PRESTIGE,PRESTIGE ESTATE LTD,SMALL_CAP,1725.2,-1.22,-1.71,12.71,42,56.5,BULLISH,4.46,7,10,0,NA,NA,NA,NA,NA,901528798.9,WEAK_HOLD,2025-11-06
Nifty Energy,48.26,46,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,367.95,-1.34,2.89,7.62,66,70.1,STRONG_BULLISH,13.4,12,6,20,62.6,70,56,58.64,59.17,4383652002.35,BUY,2025-11-06
Nifty Energy,48.26,3,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1496.1,1.56,0.51,8.04,50,67.3,BULLISH,4.28,6,17,0,NA,NA,NA,NA,NA,25059656533.3,HOLD,2025-11-06
Nifty Energy,48.26,69,IOC,INDIAN OIL CORP LTD,MID_CAP,168.37,-0.52,2.97,9.07,48,75.7,STRONG_BULLISH,17.44,12,4,0,NA,NA,NA,NA,NA,3321974233.2,WEAK_HOLD,2025-11-06
Nifty Energy,48.26,92,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1060.5,-2.38,-6.98,-0.02,40,50.7,STRONG_BULLISH,7.06,4,6,0,10,10,10,10,10,2700296605.1,WEAK_HOLD,2025-11-06
Nifty Energy,48.26,145,ONGC,OIL AND NATURAL GAS CORP.,MID_CAP,251.5,-0.34,-1.19,2.52,37.3,55.5,BULLISH,4.1,3,12,0,NA,NA,NA,NA,NA,1763817544,WEAK_HOLD,2025-11-06
Nifty Infrastructure,46.78,152,ABB,ABB INDIA LIMITED,SMALL_CAP,5228,-0.31,-0.97,0.16,54,50.5,BULLISH,0.48,3,10,20,61.29,55.43,73,59.32,60,1588966647,HOLD,2025-11-06
Nifty Infrastructure,46.78,159,BHEL,BHEL,SMALL_CAP,260.05,-2.69,-0.47,6.2,53.3,66.5,BULLISH,16.25,11,4,15,53.94,54.13,47,55.45,63,1527999628.7,HOLD,2025-11-06
Nifty Infrastructure,46.78,28,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,3881.6,-1.09,-2.66,4.07,43.3,54.1,STRONG_BULLISH,6.45,5,12,0,NA,NA,NA,NA,NA,6831060755.1,WEAK_HOLD,2025-11-06
Nifty Infrastructure,46.78,52,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1436.8,-0.53,-1.45,2.67,43.3,51.5,BULLISH,3.23,3,12,0,10,10,10,10,10,3982168706.1,WEAK_HOLD,2025-11-06
Nifty Infrastructure,46.78,92,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1060.5,-2.38,-6.98,-0.02,40,50.7,STRONG_BULLISH,7.06,4,6,0,10,10,10,10,10,2700296605.1,WEAK_HOLD,2025-11-06
Nifty Private Bank,45.58,44,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1228.5,0.15,-0.82,3.51,61.3,59.2,STRONG_BULLISH,12.13,9,15,15,52.47,51.19,47,54.71,62,4595094516.2,HOLD,2025-11-06
Nifty Private Bank,45.58,64,RBLBANK,RBL BANK LIMITED,MID_CAP,325.6,0.54,0.2,19.03,61.3,68,STRONG_BULLISH,25.29,15,13,0,NA,NA,NA,NA,NA,3530184140.4,HOLD,2025-11-06
Nifty Private Bank,45.58,190,FEDERALBNK,FEDERAL BANK LTD,SMALL_CAP,235.83,-0.85,0.43,18.41,45.3,76.5,BULLISH,16.49,13,8,0,NA,NA,NA,NA,NA,1156385654.71,WEAK_HOLD,2025-11-06
Nifty Private Bank,45.58,40,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2083.2,-0.64,-2.53,-2.05,30,42.6,BEARISH,1.66,1,8,0,NA,NA,NA,NA,NA,4965600522.6,SELL,2025-11-06
Nifty Private Bank,45.58,135,BANDHANBNK,BANDHAN BANK LIMITED,MID_CAP,152.93,-2.07,-10.35,-7.02,30,35.7,BULLISH,-13.85,1,6,20,65.58,70.71,70,56.47,56.67,1982786877.56,SELL,2025-11-06
