Date,Open,High,Low,Close,Volume
2022-10-04,68.194,68.194,66.0692,66.3162,2347
2022-10-06,67.6505,68.4411,65.4268,67.0575,7052
2022-10-07,69.0341,69.1824,65.3773,66.2174,4423
2022-10-10,67.3046,68.1941,61.8194,63.3513,18754
2022-10-11,61.5229,63.6478,61.5229,62.2641,4329
2022-10-12,62.2641,66.0198,61.6711,63.2525,1806
2022-10-13,64.2408,64.2408,61.7206,62.9065,1831
2022-10-14,64.8338,64.8338,60.2875,60.9299,4083
2022-10-17,63.6972,63.6972,59.2992,60.6334,11905
2022-10-18,62.0171,63.2525,60.4357,60.7817,9019
2022-10-19,62.0171,62.0171,59.8922,60.0898,6332
2022-10-20,62.61,62.61,58.9039,59.8922,4389
2022-10-21,60.3863,61.5723,58.7062,59.6945,6362
2022-10-24,60.5346,63.203,55.9883,58.0144,3646
2022-10-25,60.3369,60.3369,55.3953,57.6684,4524
2022-10-27,57.0755,59.1015,57.0755,58.6073,5132
2022-10-28,59.8428,59.8428,52.5786,56.9272,14070
2022-10-31,58.3109,60.1887,56.3342,57.619,11277
2022-11-01,57.8661,58.805,57.4214,58.7556,1608
2022-11-02,58.3603,59.2003,57.4214,58.7556,4766
2022-11-03,58.3109,59.4474,56.5319,57.4708,10123
2022-11-04,58.6568,59.2992,58.1132,58.2614,5906
2022-11-07,58.1132,59.2992,57.372,58.2614,9215
2022-11-09,58.9533,69.8742,57.7179,60.3369,16917
2022-11-10,60.3863,63.0548,59.0027,59.2992,5050
2022-11-11,59.3486,59.3486,57.9155,59.2992,12200
2022-11-14,59.2992,59.2992,57.9155,58.4097,14551
2022-11-15,59.2003,59.2992,55.6918,56.1366,16844
2022-11-16,54.9012,56.3342,51.442,51.9856,15453
2022-11-17,51.4915,52.9739,48.5265,52.1339,20014
2022-11-18,52.2821,53.8634,50.1572,51.3926,4969
2022-11-21,49.1689,52.2821,46.6487,47.9829,9161
2022-11-22,49.9101,50.7996,48.4277,49.8607,6723
2022-11-23,50.4537,51.0467,48.9218,49.9596,3766
2022-11-24,48.823,50.2066,48.4277,48.5759,8826
2022-11-25,50.9479,51.0467,46.7969,48.1806,4594
2022-11-28,50.7996,50.849,47.4393,47.5876,5226
2022-11-29,49.0207,49.3172,43.4861,47.044,21944
2022-11-30,46.0063,55.0988,45.5121,51.1455,77717
2022-12-01,52.1833,53.814,50.8985,52.7763,34730
2022-12-02,51.5409,53.9622,50.4537,51.0961,25473
2022-12-05,52.2821,52.3809,50.8985,51.6891,4761
2022-12-06,52.7268,54.3082,50.4043,51.4914,3621
2022-12-07,51.3926,51.3926,50.4043,51.195,1775
2022-12-08,52.7763,52.7763,50.4043,51.788,2853
2022-12-09,51.8868,52.1339,49.416,50.2066,6188
2022-12-12,51.7385,51.7385,48.7736,50.1078,3265
2022-12-13,50.7008,50.8985,48.4771,49.8607,11036
2022-12-14,49.0207,51.3432,49.0207,51.2938,4668
2022-12-15,50.4043,50.9479,49.0207,49.3666,4592
2022-12-16,48.9712,52.2821,46.0557,48.9712,6189
2022-12-19,54.2093,54.2093,48.23,49.9596,2318
2022-12-20,51.3432,53.2704,49.2677,50.602,6197
2022-12-21,50.7502,52.2327,48.7242,49.416,4731
2022-12-22,50.4537,50.4537,47.5382,47.8347,7903
2022-12-23,47.6864,49.3171,46.1051,46.5004,3599
2022-12-26,47.2417,49.2183,46.9452,48.4277,3664
2022-12-27,48.2794,50.4043,48.2794,48.8724,1851
2022-12-28,49.416,49.416,48.23,48.7736,3422
2022-12-29,47.2911,49.3171,47.2417,48.4771,1056
2022-12-30,49.1689,50.4043,48.5759,49.7125,30074
2023-01-02,51.195,51.195,47.8347,50.7008,7715
2023-01-03,49.8607,49.9101,45.265,47.9335,25373
2023-01-04,47.9335,47.9335,44.672,46.9452,26598
2023-01-05,46.0063,47.9829,44.3756,45.4627,27348
2023-01-06,46.2534,46.451,43.9802,44.5238,23902
2023-01-09,45.4133,46.0063,43.5849,44.7215,5796
2023-01-10,45.4133,45.4627,41.46,42.2507,15922
2023-01-11,43.1402,43.1402,38.5939,39.3845,23353
2023-01-12,40.5705,41.2623,38.9892,39.434,7036
2023-01-13,43.3872,44.1285,34.7888,36.8149,60157
2023-01-16,39.0386,39.0386,37.7044,38.0009,8335
2023-01-17,38.0009,38.9398,36.3207,38.495,16746
2023-01-18,38.841,39.3351,37.9515,38.8904,3845
2023-01-19,39.681,40.3729,38.0997,38.4456,8136
2023-01-20,38.9892,39.5328,38.6927,39.5328,3955
2023-01-23,39.3351,41.3118,38.3468,38.7915,11617
2023-01-24,41.2129,41.2129,36.2219,39.088,29216
2023-01-25,40.4223,40.4223,37.2102,37.5561,7921
2023-01-27,38.4951,38.4951,35.8266,36.7655,5749
2023-01-30,37.7538,38.3468,35.5795,38.0009,8211
2023-01-31,39.4834,39.4834,34.2453,35.8266,56704
2023-02-01,38.0009,38.0009,34.6406,35.8266,4836
2023-02-02,34.6406,38.1491,34.6406,35.7278,8625
2023-02-03,35.6289,36.5678,32.5651,36.3702,30262
2023-02-06,37.1114,43.6343,35.7772,40.5705,33629
2023-02-07,40.5211,41.5588,39.4834,39.8293,10069
2023-02-08,40.5705,40.6199,39.5328,40.3234,1716
2023-02-09,41.1635,43.9308,38.1491,41.5588,8110
2023-02-10,42.3989,42.3989,40.7682,41.5094,2619
2023-02-13,40.7188,43.8814,40.5211,42.3495,16681
2023-02-14,43.4861,43.4861,41.3118,41.46,6537
2023-02-15,41.0153,42.8437,40.274,40.7682,1829
2023-02-16,41.5094,43.4861,40.274,41.5588,7564
2023-02-17,43.6343,44.0296,41.5094,41.9542,5808
2023-02-20,42.0036,42.0036,39.2857,39.5328,30896
2023-02-21,40.1258,40.274,39.0386,39.1869,326
2023-02-22,39.088,39.681,38.5445,38.5445,4575
2023-02-23,38.5939,39.3351,38.5445,39.2363,810
2023-02-24,39.5328,39.7799,38.5445,38.6927,14268
2023-02-27,38.5445,39.7304,38.5445,38.5445,7173
