INDEX_NAME,STOCK_SYMBOL
NIFTY MICROCAP 250,SKIPPER
NIFTY MICROCAP 250,SENCO
NIFTY MICROCAP 250,PRSMJOHNSN
NIFTY MICROCAP 250,PNGJL
NIFTY MICROCAP 250,JAMNAAUTO
NIFTY MICROCAP 250,NETWORK18
NIFTY MICROCAP 250,PTC
NIFTY MICROCAP 250,MASTEK
NIFTY MICROCAP 250,GABRIEL
NIFTY MICROCAP 250,PRUDENT
NIFTY MICROCAP 250,PCJEWELLER
NIFTY MICROCAP 250,RELAXO
NIFTY MICROCAP 250,GREENPANEL
NIFTY MICROCAP 250,JKPAPER
NIFTY MICROCAP 250,SOUTHBANK
NIFTY MICROCAP 250,NESCO
NIFTY MICROCAP 250,RTNPOWER
NIFTY MICROCAP 250,FIEMIND
NIFTY MICROCAP 250,THANGAMAYL
NIFTY MICROCAP 250,SAFARI
NIFTY MICROCAP 250,GSFC
NIFTY MICROCAP 250,CELLO
NIFTY MICROCAP 250,INNOVACAP
NIFTY MICROCAP 250,AARTIDRUGS
NIFTY MICROCAP 250,ENTERO
NIFTY MICROCAP 250,STLTECH
NIFTY MICROCAP 250,DBL
NIFTY MICROCAP 250,SHILPAMED
NIFTY MICROCAP 250,STAR
NIFTY MICROCAP 250,RAIN
NIFTY MICROCAP 250,PARKHOTELS
NIFTY MICROCAP 250,VSTIND
NIFTY MICROCAP 250,EPL
NIFTY MICROCAP 250,AJAXENGG
NIFTY MICROCAP 250,ANUP
NIFTY MICROCAP 250,AGI
NIFTY MICROCAP 250,SANOFI
NIFTY MICROCAP 250,AURIONPRO
NIFTY MICROCAP 250,BALAMINES
NIFTY MICROCAP 250,INFIBEAM
NIFTY MICROCAP 250,MAXESTATES
NIFTY MICROCAP 250,LUXIND
NIFTY MICROCAP 250,CEIGALL
NIFTY MICROCAP 250,V2RETAIL
NIFTY MICROCAP 250,CYIENTDLM
NIFTY MICROCAP 250,ACI
NIFTY MICROCAP 250,IMAGICAA
NIFTY MICROCAP 250,AZAD
NIFTY MICROCAP 250,UJJIVANSFB
NIFTY MICROCAP 250,TANLA
NIFTY MICROCAP 250,GANESHHOU
NIFTY MICROCAP 250,AHLUCONT
NIFTY MICROCAP 250,SKYGOLD
NIFTY MICROCAP 250,EMUDHRA
NIFTY MICROCAP 250,WABAG
NIFTY MICROCAP 250,GATEWAY
NIFTY MICROCAP 250,CIEINDIA
NIFTY MICROCAP 250,SFL
NIFTY MICROCAP 250,GULFOILLUB
